Animal,Young,Female,Male,Collective noun
Albatross,chick,—,,flock; gam; rookery
Alligator,hatchling,cow,,congregation
Alpaca,cria,hembra,,herd
Ant,larva; pupa,queen; soldier; worker,,army; bike; colony; bivouac; nest; swarm
Antelope,calf,doe,,cluster; herd; tribe
Ape,baby; child; infant,—,,band family group shrewdness troop; group
Armadillo,baby; pup,sow,,protection
Ass/donkey,foal,jenny,,coffle; drove; herd; pace
Baboon,infant,babuina,,flange troop; group
Badger,cub; kit,sow,,cete; colony
Bat,pup,—,,camp; cloud; colony; flock
Bear,cub,she-bear; sow,,sleuth; sloth
Beaver,kit; kitten; pup,—,,colony; family
Bee,larva; pupa,queen; worker,,cast; cluster; colony; drift; erst; grist; hive; nest; rabble; stand; swarm
Beetle,larva; grub; mealworm; pupa,—,,swarm
Binturong,binlet,—,,—
Boar/wild; pig,farrow; piglet; shoat/shote,sow,,herd; singular; sounder
Bobcat,bobkitten,—,,—
Butterfly,caterpillar; chrysalis; larva; pupa,—,,flight; flutter; kaleidoscope; rabble; swarm
Camel,calf,cow,,caravan; flock; herd; train
Cardinal,,,,college; conclave; deeck; radiance; Vatican
Cat,kit; kitten,molly; queen,,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance
Cattle,calf,cow; heifer; freemartin,,drove; gang; herd; obstinancy; team; troop; yoke
Cheetah,cub; kitten,—,,coalition
Chicken,chick,hen; pullet,,brood; clutch; flock; peep
Chimpanzee,infant,empress,,troop; group tribe
Chinchilla,kit,sow; velvet,,colony
Chough,chick,—,,chattering; clattering
Cobra,—,—,,quiver
Cockroach,nymph,—,,intrusion
Cod,codling,—,,school
Cormorant,chick; shaglet,—,,flight; gulp
Crab,zoea,hen; jenny,,—
Crane,chick; colt,—,,herd; sedge; sege; siege
Crocodile,hatchling,cow,,bask; congregation; float; menace
Crow,—,—,,murder
Deer,calf; fawn,doe; hind; cow,,bunch; herd; mob; rangale
Dog,pup; puppy; whelp,bitch,,comedy; cowardice; cry; kennel; litter; mute; pack
Dogfish,—,—,,troop
Dolphin,calf,cow,,herd; pod; school; team
Dove,chick,hen,,arc; cote; dole; dule; flight; piteousness; pitying
Duck,duckling,duck; hen,,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling
Dunlin,chick,—,,fling
Eagle,eaglet; fledgling,—,,convocation
Echidna,puggle,—,,—
Eel,leptocephalus; elver,—,,bed; swarm
Elephant,calf,cow,,herd; memory; parade
Elk/wapiti,calf,cow,,gang; herd
Emu,chick; hatchling,—,,mob
Falcon,eyass/eyas,falcon,,cast
Ferret,kit,jill,,business; busyness
Finch,chick,hen,,charm
Flamingo,chick,—,,flamboyance; stand
Fly,maggot,—,,business; cloud; swarm
Fox,cub; kit; pup,vixen,,leash; skulk; earth
Frog,froglet; polliwog; tadpole,—,,army
Gecko,hatchling,dam,,—
Gerbil,pup,doe,,horde
Giant; panda,cub,sow,,embarrassment; sleuth
Giraffe,calf,cow,,corps; herd; tower
Gnat,larva,—,,cloud; horde; rabble; swarm
Gnu,calf,cow,,herd; implausibility
