question,answer
"In the MTS system of units, what quantity does the unit sthène represent?",force
"In the MKS system of units, what quantity does the unit MKS rayl represent?",acoustic impedance
"In the MKS system of units, what quantity does the unit solar flux unit represent?",spectral irradiance
"In the MKS system of units, what quantity does the unit original represent?",energy
"In the MKS system of units, what quantity does the unit mho represent?",electric conductance
"In the MKS system of units, what quantity does the unit leo represent?",acceleration
"In the CGS system of units, what quantity does the unit barye represent?",pressure
"In the CGS system of units, what quantity does the unit statfarad represent?",electric capacitance
"In the CGS system of units, what quantity does the unit rayl represent?",specific acoustic impedance
"In the CGS system of units, what quantity does the unit oersted represent?",magnetic field strength
"In the MKS system of units, what quantity does the unit jansky represent?",spectral irradiance
"In the MTS system of units, what quantity does the unit pièze represent?",pressure
"In the MKS system of units, what quantity does the unit lambert represent?",luminance
"In the MKS system of units, what quantity does the unit hebdometre represent?",distance
"In the CGS system of units, what quantity does the unit stattesla represent?",magnetic flux density
"In the MKS system of units, what quantity does the unit poiseuille represent?",dynamic viscosity
"In the MKS system of units, what quantity does the unit sigma represent?",time
"In the MKS system of units, what quantity does the unit sverdrup represent?",volume flow rate
"In the MKS system of units, what quantity does the unit cycle per second represent?",frequency
"In the CGS system of units, what quantity does the unit biot represent?",electric current
"In the CGS system of units, what quantity does the unit abfarad represent?",electric capacitance
"In the MKS system of units, what quantity does the unit buckingham represent?",electric quadrupole moment
"In the MKS system of units, what quantity does the unit benz represent?",speed
"In the CGS system of units, what quantity does the unit phot represent?",illuminance
"In the MKS system of units, what quantity does the unit nox represent?",illuminance
"In the CGS system of units, what quantity does the unit gilbert represent?",magnetomotive force
"In the MKS system of units, what quantity does the unit poncelet represent?",power
"In the MKS system of units, what quantity does the unit hyl represent?",mass
"In the CGS system of units, what quantity does the unit abmho represent?",electric conductance
"In the CGS system of units, what quantity does the unit statsiemens represent?",electric conductance
"In the MKS system of units, what quantity does the unit grave represent?",mass
"In the CGS system of units, what quantity does the unit statwatt represent?",power
"In the MKS system of units, what quantity does the unit shake represent?",time
"In the CGS system of units, what quantity does the unit abvolt represent?",electric potential difference
"In the MKS system of units, what quantity does the unit rad represent?",absorbed dose
"In the MKS system of units, what quantity does the unit lumerg represent?",luminous energy
"In the MKS system of units, what quantity does the unit barn represent?",area
"In the CGS system of units, what quantity does the unit poise represent?",dynamic viscosity
"In the MKS system of units, what quantity does the unit acoustic ohm represent?",acoustic impedance
"In the MKS system of units, what quantity does the unit undecimogramme represent?",mass
"In the MKS system of units, what quantity does the unit dioptre represent?",optical power
"In the MKS system of units, what quantity does the unit hectare represent?",area
"In the MKS system of units, what quantity does the unit gamma represent?",mass
"In the CGS system of units, what quantity does the unit stathenry represent?",electric inductance
"In the MKS system of units, what quantity does the unit roentgen equivalent man represent?",equivalent dose
"In the MKS system of units, what quantity does the unit talbot represent?",luminous energy
"In the CGS system of units, what quantity does the unit statdaraf represent?",electric elastance
"In the CGS system of units, what quantity does the unit kayser represent?",wavenumber
"In the MKS system of units, what quantity does the unit tex represent?",linear mass density
"In the MKS system of units, what quantity does the unit shed represent?",area
"In the CGS system of units, what quantity does the unit maxwell represent?",magnetic flux
"In the CGS system of units, what quantity does the unit abhenry represent?",electric inductance
"In the MKS system of units, what quantity does the unit eotvos represent?",gravitational gradient
"In the MKS system of units, what quantity does the unit lambda represent?",volume
"In the MKS system of units, what quantity does the unit Siemens mercury unit represent?",electric resistance
"In the CGS system of units, what quantity does the unit erg represent?",energy
"In the CGS system of units, what quantity does the unit statcoulomb represent?",electric charge
"In the MKS system of units, what quantity does the unit angstrom represent?",distance
"In the MKS system of units, what quantity does the unit spat represent?",distance
"In the MKS system of units, what quantity does the unit bar represent?",mass
"In the MKS system of units, what quantity does the unit svedberg represent?",time
"In the CGS system of units, what quantity does the unit franklin represent?",electric charge
"In the CGS system of units, what quantity does the unit abampere represent?",electric current
"In the MKS system of units, what quantity does the unit fresnel represent?",frequency
"In the CGS system of units, what quantity does the unit statmho represent?",electric conductance
"In the MKS system of units, what quantity does the unit basic module represent?",distance
"In the MKS system of units, what quantity does the unit myriametre represent?",distance
"In the CGS system of units, what quantity does the unit dyne represent?",force
"In the MKS system of units, what quantity does the unit micron represent?",distance
"In the MKS system of units, what quantity does the unit decare represent?",area
"In the CGS system of units, what quantity does the unit statampere represent?",electric current
"In the MKS system of units, what quantity does the unit outhouse represent?",area
"In the CGS system of units, what quantity does the unit stokes represent?",kinematic viscosity
"In the MKS system of units, what quantity does the unit rayleigh represent?",photon flux rate density
"In the CGS system of units, what quantity does the unit abohm represent?",electric resistance
