question,answers,type,template_variant
"Who is the author of the book ""Prince Caspian""?",C.S. Lewis,book-author,author-of-book
"Who wrote the book ""Prince Caspian""?",C.S. Lewis,book-author,who-wrote-book
"Who is the author of the book ""Camp Princess 2: Unicorns? Get Real!""?",Kathryn Lasky,book-author,author-of-book
"Who wrote the book ""Camp Princess 2: Unicorns? Get Real!""?",Kathryn Lasky,book-author,who-wrote-book
"Who is the author of the book ""At Last Comes Love""?",Mary Balogh,book-author,author-of-book
"Who wrote the book ""At Last Comes Love""?",Mary Balogh,book-author,who-wrote-book
"Who is the author of the book ""Rick Steves' Tour: Appian Way, Rome""?",Rick Steves,book-author,author-of-book
"Who wrote the book ""Rick Steves' Tour: Appian Way, Rome""?",Rick Steves,book-author,who-wrote-book
"Who is the author of the book ""Armageddon: The Musical""?",Robert Rankin,book-author,author-of-book
"Who wrote the book ""Armageddon: The Musical""?",Robert Rankin,book-author,who-wrote-book
"Who is the author of the book ""Hölderlin, Kleist, and Nietzsche: The Struggle with the Daemon""?",Stefan Zweig,book-author,author-of-book
"Who wrote the book ""Hölderlin, Kleist, and Nietzsche: The Struggle with the Daemon""?",Stefan Zweig,book-author,who-wrote-book
"Who is the author of the book ""Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish""?",James Scott Bell,book-author,author-of-book
"Who wrote the book ""Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish""?",James Scott Bell,book-author,who-wrote-book
"Who is the author of the book ""Toilers of the Sea Part 1""?",Victor Hugo,book-author,author-of-book
"Who wrote the book ""Toilers of the Sea Part 1""?",Victor Hugo,book-author,who-wrote-book
"Who is the author of the book ""Dark Sacred Night""?",Michael Connelly,book-author,author-of-book
"Who wrote the book ""Dark Sacred Night""?",Michael Connelly,book-author,who-wrote-book
"Who is the author of the book ""All They Need""?",Sarah Mayberry,book-author,author-of-book
"Who wrote the book ""All They Need""?",Sarah Mayberry,book-author,who-wrote-book
"Who is the author of the book ""Ulysses: The 1922 Text""?",James Joyce,book-author,author-of-book
"Who wrote the book ""Ulysses: The 1922 Text""?",James Joyce,book-author,who-wrote-book
"Who is the author of the book ""In Pursuit of Peace: 21 Ways to Conquer Anxiety, Fear, and Discontentment""?",Joyce Meyer,book-author,author-of-book
"Who wrote the book ""In Pursuit of Peace: 21 Ways to Conquer Anxiety, Fear, and Discontentment""?",Joyce Meyer,book-author,who-wrote-book
"Who is the author of the book ""Forgiven""?",Karen Kingsbury,book-author,author-of-book
"Who wrote the book ""Forgiven""?",Karen Kingsbury,book-author,who-wrote-book
"Who is the author of the book ""Visions of Cody""?",Jack Kerouac,book-author,author-of-book
"Who wrote the book ""Visions of Cody""?",Jack Kerouac,book-author,who-wrote-book
"Who is the author of the book ""Bleach―ブリーチ― 49 [Burīchi 49]""?",Tite Kubo,book-author,author-of-book
"Who wrote the book ""Bleach―ブリーチ― 49 [Burīchi 49]""?",Tite Kubo,book-author,who-wrote-book
"Who is the author of the book ""Dreams of Earth and Sky""?",Freeman Dyson,book-author,author-of-book
"Who wrote the book ""Dreams of Earth and Sky""?",Freeman Dyson,book-author,who-wrote-book
"Who is the author of the book ""Alice's Adventures in Wonderland and Through the Looking-Glass: With an Excerpt from the Life and Letters of Lewis Carroll""?",Lewis Carroll,book-author,author-of-book
"Who wrote the book ""Alice's Adventures in Wonderland and Through the Looking-Glass: With an Excerpt from the Life and Letters of Lewis Carroll""?",Lewis Carroll,book-author,who-wrote-book
"Who is the author of the book ""Faceless Killers""?",Henning Mankell,book-author,author-of-book
"Who wrote the book ""Faceless Killers""?",Henning Mankell,book-author,who-wrote-book
"Who is the author of the book ""The Myth of the Spoiled Child: Coddled Kids, Helicopter Parents, and Other Phony Crises""?",Alfie Kohn,book-author,author-of-book
"Who wrote the book ""The Myth of the Spoiled Child: Coddled Kids, Helicopter Parents, and Other Phony Crises""?",Alfie Kohn,book-author,who-wrote-book
"Who is the author of the book ""Elements of the Philosophy of Right""?",Georg Wilhelm Friedrich Hegel,book-author,author-of-book
"Who wrote the book ""Elements of the Philosophy of Right""?",Georg Wilhelm Friedrich Hegel,book-author,who-wrote-book
"Who is the author of the book ""A Whisper to the Living""?",Stuart M. Kaminsky,book-author,author-of-book
"Who wrote the book ""A Whisper to the Living""?",Stuart M. Kaminsky,book-author,who-wrote-book
"Who is the author of the book ""Thomas Pynchon""?",Joseph W. Slade,book-author,author-of-book
"Who wrote the book ""Thomas Pynchon""?",Joseph W. Slade,book-author,who-wrote-book
"Who is the author of the book ""A Wilder Rose""?",Susan Wittig Albert,book-author,author-of-book
"Who wrote the book ""A Wilder Rose""?",Susan Wittig Albert,book-author,who-wrote-book
"Who is the author of the book ""Enid Blyton: The Biography""?",Barbara Stoney,book-author,author-of-book
"Who wrote the book ""Enid Blyton: The Biography""?",Barbara Stoney,book-author,who-wrote-book
"Who is the author of the book ""Buffalo Bill Cody: The Man Behind the Legend""?",Robert A. Carter,book-author,author-of-book
"Who wrote the book ""Buffalo Bill Cody: The Man Behind the Legend""?",Robert A. Carter,book-author,who-wrote-book
