question,answers
"Who is the author of the book ""Prince Caspian""?",C.S. Lewis
"Who is the author of the book ""Camp Princess 2: Unicorns? Get Real!""?",Kathryn Lasky
"Who is the author of the book ""At Last Comes Love""?",Mary Balogh
"Who is the author of the book ""Rick Steves' Tour: Appian Way, Rome""?",Rick Steves
"Who is the author of the book ""Armageddon: The Musical""?",Robert Rankin
"Who is the author of the book ""Hölderlin, Kleist, and Nietzsche: The Struggle with the Daemon""?",Stefan Zweig
"Who is the author of the book ""Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish""?",James Scott Bell
"Who is the author of the book ""Toilers of the Sea Part 1""?",Victor Hugo
"Who is the author of the book ""Dark Sacred Night""?",Michael Connelly
"Who is the author of the book ""All They Need""?",Sarah Mayberry
"Who is the author of the book ""Ulysses: The 1922 Text""?",James Joyce
"Who is the author of the book ""In Pursuit of Peace: 21 Ways to Conquer Anxiety, Fear, and Discontentment""?",Joyce Meyer
"Who is the author of the book ""Forgiven""?",Karen Kingsbury
"Who is the author of the book ""Visions of Cody""?",Jack Kerouac
"Who is the author of the book ""Bleach―ブリーチ― 49 [Burīchi 49]""?",Tite Kubo
"Who is the author of the book ""Dreams of Earth and Sky""?",Freeman Dyson
"Who is the author of the book ""Alice's Adventures in Wonderland and Through the Looking-Glass: With an Excerpt from the Life and Letters of Lewis Carroll""?",Lewis Carroll
"Who is the author of the book ""Faceless Killers""?",Henning Mankell
"Who is the author of the book ""The Myth of the Spoiled Child: Coddled Kids, Helicopter Parents, and Other Phony Crises""?",Alfie Kohn
"Who is the author of the book ""Elements of the Philosophy of Right""?",Georg Wilhelm Friedrich Hegel
"Who is the author of the book ""A Whisper to the Living""?",Stuart M. Kaminsky
"Who is the author of the book ""Thomas Pynchon""?",Joseph W. Slade
"Who is the author of the book ""A Wilder Rose""?",Susan Wittig Albert
"Who is the author of the book ""Enid Blyton: The Biography""?",Barbara Stoney
"Who is the author of the book ""Buffalo Bill Cody: The Man Behind the Legend""?",Robert A. Carter
"Who is the author of the book ""Goodbye Columbus""?",Philip Roth
"Who is the author of the book ""Rules of Engagement: An Anthology""?",Stephanie Laurens
"Who is the author of the book ""The Dharma Bums""?",Jack Kerouac
"Who is the author of the book ""Living Color: Painting, Writing, and the Bones of Seeing""?",Natalie Goldberg
"Who is the author of the book ""The Information: A History, a Theory, a Flood""?",James Gleick
"Who is the author of the book ""The Sisters: The Saga of the Mitford Family""?",Mary S. Lovell
"Who is the author of the book ""Pandora""?",Anne Rice
"Who is the author of the book ""The Partly Cloudy Patriot""?",Sarah Vowell
"Who is the author of the book ""Bean There, Done That""?",Sandra Balzo
"Who is the author of the book ""Grits (Girls Raised in the South) Guide to Life""?",Deborah Ford
"Who is the author of the book ""The Battle of Corrin""?",Brian Herbert
"Who is the author of the book ""Perfidia""?",James Ellroy
"Who is the author of the book ""Up Country""?",Nelson DeMille
"Who is the author of the book ""Leonardo's Swans""?",Karen Essex
"Who is the author of the book ""Lawn Boy Returns""?",Gary Paulsen
"Who is the author of the book ""Introduction to Lexivism""?",Alexander Lloyd Curran
"Who is the author of the book ""Unknown""?",Rachel Caine
"Who is the author of the book ""Something Strange and Deadly""?",Susan Dennard
"Who is the author of the book ""When the Wind Blows""?",James Patterson
"Who is the author of the book ""Red Scare in the Green Mountains: The McCarthy Era in Vermont 1946-1960""?",Rick Winston
"Who is the author of the book ""The 1002nd Book to Read Before You Die""?",M.J. Nicholls
"Who is the author of the book ""Mr. Harrison's Confessions""?",Elizabeth Gaskell
"Who is the author of the book ""The Sacredness of Questioning Everything""?",David Dark
"Who is the author of the book ""Sita""?",Kate Millett
"Who is the author of the book ""The Supergirls: Fashion, Feminism, Fantasy, and the History of Comic Book Heroines""?",Mike Madrid
"Who is the author of the book ""The Master of Ballantrae""?",Robert Louis Stevenson
"Who is the author of the book ""The Lake of Souls""?",Darren Shan
"Who is the author of the book ""Breathe: One woman's journey to save her husband and herself""?",Barbara Thornbury
"Who is the author of the book ""Kink""?",Nikki Sex
"Who is the author of the book ""Some Inspiration for the Overenthusiastic""?",Bauvard
"Who is the author of the book ""The Impostor""?",Celeste Bradley
"Who is the author of the book ""Hear the Wind Sing""?",Haruki Murakami
"Who is the author of the book ""An Object Of Beauty""?",Steve Martin
"Who is the author of the book ""The Imagination""?",Jean-Paul Sartre
"Who is the author of the book ""Complicity""?",Iain M. Banks
"Who is the author of the book ""The Road to Daybreak: A Spiritual Journey""?",Henri J.M. Nouwen
"Who is the author of the book ""Ben Folds Five - The Unauthorized Biography of Reinhold Messner""?",Ben Folds
"Who is the author of the book ""Becoming Wise: An Inquiry into the Mystery and Art of Living""?",Krista Tippett
"Who is the author of the book ""Be Obedient (Genesis 12-25): Learning the Secret of Living by Faith""?",Warren W. Wiersbe
"Who is the author of the book ""Island of the Blue Dolphins""?",Scott O'Dell
"Who is the author of the book ""Two by Two""?",Nicholas Sparks
"Who is the author of the book ""La Fanfarlo""?",Charles Baudelaire
"Who is the author of the book ""The Run-Out Groove""?",Andrew Cartmel
"Who is the author of the book ""Resurrection Man""?",Sean Stewart
"Who is the author of the book ""The Collector of Dying Breaths""?",M.J. Rose
"Who is the author of the book ""Notebooks 1935-1942""?",Albert Camus
"Who is the author of the book ""Winner Lose All""?",Timothy Zahn
"Who is the author of the book ""Murder in the Mystery Suite""?",Ellery Adams
"Who is the author of the book ""A Star in the Face of the Sky""?",David Haynes
"Who is the author of the book ""The Ballad of Lucy Whipple""?",Karen Cushman
"Who is the author of the book ""The Grace of Repentance (Today's Issues""?",Sinclair B. Ferguson
"Who is the author of the book ""Doce hombres comunes y corrientes: Cómo el Maestro formó a sus discípulos para la grandeza, y lo que Él quiere hacer contigo""?",John F. MacArthur Jr.
"Who is the author of the book ""Wild Mind: Living the Writer's Life""?",Natalie Goldberg
