question,answers
What is a group of Giraffe called?,corps; herd; tower
What is a group of Finch called?,charm
What is a group of Kingbird called?,court; tyranny; coronation
What is a group of Sandpiper called?,fling
What is a group of Squid called?,shoal
What is a group of Wolf called?,pack
What is a group of Bear called?,sleuth; sloth
What is a group of Polar; bear called?,aurora; celebration; pack
What is a group of Chough called?,chattering; clattering
What is a group of Ape called?,band family group shrewdness troop; group
What is a group of Turtle called?,bale
What is a group of Seal called?,herd; pod; rookery
What is a group of Pelican called?,pod; scoop
What is a group of Butterfly called?,flight; flutter; kaleidoscope; rabble; swarm
What is a group of Duck called?,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling
What is a group of Jay called?,band; party; scold
What is a group of Cardinal called?,college; conclave; deeck; radiance; Vatican
What is a group of Peccary called?,squadron
What is a group of Leopard called?,leap; lepe
What is a group of Rat called?,colony; horde; mischief
What is a group of Raccoon called?,brace; committee; gaze; nursery; smack; troop
What is a group of Lobster called?,risk
What is a group of Beetle called?,swarm
What is a group of Tiger called?,ambush; streak
What is a group of Gnu called?,herd; implausibility
What is a group of Rhinoceros called?,crash; herd
What is a group of Hedgehog called?,array
What is a group of Goat called?,herd; flock; tribe; trip; trippe
What is a group of Oyster called?,bed
What is a group of Bat called?,camp; cloud; colony; flock
What is a group of Lark called?,exaltation
What is a group of Dogfish called?,troop
What is a group of Ant called?,army; bike; colony; bivouac; nest; swarm
What is a group of Mosquito called?,cloud; scourge; swarm
What is a group of Snake called?,ball; nest; slither
What is a group of Rook called?,building; parliament
What is a group of Human called?,band; clan; crowd; family; group; horde; tribe
What is a group of Wallaby called?,mob
What is a group of Jaguar called?,leap; parade; prowl
What is a group of Dolphin called?,herd; pod; school; team
What is a group of Nightingale called?,watch
What is a group of Dunlin called?,fling
What is a group of Goldfinch called?,charm
What is a group of Horse called?,band; field; harras; herd; rag; stable; string; stud; team
What is a group of Cockroach called?,intrusion
What is a group of Monkey called?,group; troop
What is a group of Herring called?,army; glean; shoal
What is a group of Heron called?,flight; sedge; sege; siege
What is a group of Owl called?,parliament
What is a group of Frog called?,army
What is a group of Whale called?,gam; pod; school
What is a group of Fox called?,leash; skulk; earth
What is a group of Pig called?,drift; drove; litter; sounder; team
What is a group of Platypus called?,paddle
What is a group of Crow called?,murder
What is a group of Pigeon called?,flight; flock; kit
What is a group of Cobra called?,quiver
What is a group of Badger called?,cete; colony
What is a group of Toad called?,knot
What is a group of Wildebeest called?,confusion
What is a group of Hornet called?,bike; nest; swarm
What is a group of Mole called?,labor
What is a group of Spider called?,cluster; clutter
What is a group of Cat called?,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance
What is a group of Snail called?,escargatoire; rout; walk
What is a group of Hamster called?,horde
What is a group of Opossum called?,passel
What is a group of Elephant called?,herd; memory; parade
What is a group of Gerbil called?,horde
What is a group of Emu called?,mob
What is a group of Chimpanzee called?,troop; group tribe
What is a group of Stingray called?,fever
What is a group of Llama called?,flock; herd
What is a group of Spoonbill called?,bowl
What is a group of Zebra called?,cohort; dazzle; herd; zeal
What is a group of Ram called?,flock
What is a group of Cheetah called?,coalition
What is a group of Crane called?,herd; sedge; sege; siege
What is a group of Wasp called?,colony; hive; nest; swarm
What is a group of Boar/wild; pig called?,herd; singular; sounder
What is a group of Skunk called?,surfeit
What is a group of Gnat called?,cloud; horde; rabble; swarm
What is a group of Albatross called?,flock; gam; rookery
What is a group of Sardine called?,family
What is a group of Grasshopper called?,cloud; swarm
What is a group of Octopus called?,shoal
What is a group of Cormorant called?,flight; gulp
What is a group of Flamingo called?,flamboyance; stand
What is a group of Deer called?,bunch; herd; mob; rangale
What is a group of Narwhal called?,pod; herd; school; gam; grind
What is a group of Rabbit called?,litter; nest; warren; wrack
What is a group of Squirrel called?,scurry
What is a group of Partridge called?,covey; roost
What is a group of Hippopotamus called?,bloat; herd; sea; thunder
What is a group of Chinchilla called?,colony
What is a group of Eel called?,bed; swarm
What is a group of Quail called?,bevy
What is a group of Mallard called?,sord; suit
What is a group of Hare called?,band; down; drove; flick; husk
What is a group of Moose called?,herd
What is a group of Guinea; pig called?,herd
What is a group of Turkey called?,rafter
What is a group of Lion called?,pride; sawt
What is a group of Porcupine called?,prickle
What is a group of Ladybug called?,loveliness
What is a group of Kinkajou called?,convergence; troop
What is a group of Dove called?,arc; cote; dole; dule; flight; piteousness; pitying
What is a group of Dog called?,comedy; cowardice; cry; kennel; litter; mute; pack
What is a group of Beaver called?,colony; family
What is a group of Fly called?,business; cloud; swarm
What is a group of Giant; panda called?,embarrassment; sleuth
What is a group of Antelope called?,cluster; herd; tribe
What is a group of Sheep called?,flock; fold; herd
What is a group of Goose called?,chevron; flock; gaggle; plump; skein; team; wedge
What is a group of Cattle called?,drove; gang; herd; obstinancy; team; troop; yoke
What is a group of Jellyfish called?,bloom; brood; fluther; smack; smuth
What is a group of Hawk called?,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff
What is a group of Toucan called?,durante
What is a group of Grouse called?,covey; pack
What is a group of Lapwing called?,deceit; desert
What is a group of Crocodile called?,bask; congregation; float; menace
What is a group of Gorilla called?,band troop; group whoop
What is a group of Eagle called?,convocation
What is a group of Shark called?,shiver
What is a group of Moth called?,eclipse; swarm
What is a group of Pug called?,grumble
What is a group of Alligator called?,congregation
What is a group of Starling called?,chattering; murmuration
What is a group of Goosander called?,dopping
What is a group of Chicken called?,brood; clutch; flock; peep
