question,answer
"In the CGS system of units, what is the symbol of the unit franklin?",Fr
"In the CGS system of units, what quantity does the unit abhenry represent?",electric inductance
"In the CGS system of units, what quantity does the unit dyne represent?",force
"In the CGS system of units, what is the unit of electric conductance?",abmho
"In the MKS system of units, what is the unit of volume flow rate?",sverdrup
"In the CGS system of units, what is the symbol of the unit statcoulomb?",statC
"In the CGS system of units, what is the symbol of the unit abvolt?",abV
"In the CGS system of units, what is the unit of pressure?",barye
"In the CGS system of units, what is the symbol of the unit abampere?",abA
"In the MKS system of units, what is the unit of mass?",undecimogramme
"In the MKS system of units, what quantity does the unit acoustic ohm represent?",acoustic impedance
"In the MKS system of units, what is the unit of illuminance?",nox
"In the MKS system of units, what is the symbol of the unit are?",a
"In the CGS system of units, what quantity does the unit statdaraf represent?",electric elastance
"In the MKS system of units, what quantity does the unit hectare represent?",area
"In the MTS system of units, what quantity does the unit pièze represent?",pressure
"In the MKS system of units, what is the unit of dynamic viscosity?",poiseuille
"In the MKS system of units, what quantity does the unit gamma represent?",mass
"In the MKS system of units, what is the symbol of the unit jansky?",Jy
"In the CGS system of units, what quantity does the unit biot represent?",electric current
"In the CGS system of units, what is the unit of electric conductance?",statsiemens
"In the CGS system of units, what quantity does the unit statcoulomb represent?",electric charge
"In the CGS system of units, what is the symbol of the unit gilbert?",Gb
"In the MKS system of units, what quantity does the unit bar represent?",mass
"In the MKS system of units, what quantity does the unit dioptre represent?",optical power
"In the MKS system of units, what is the symbol of the unit basic module?",M
"In the CGS system of units, what is the unit of electric current?",abampere
"In the MKS system of units, what quantity does the unit hebdometre represent?",distance
"In the MKS system of units, what is the unit of electric quadrupole moment?",buckingham
"In the MKS system of units, what quantity does the unit lambert represent?",luminance
"In the CGS system of units, what is the symbol of the unit franklin?",Fr
"In the MKS system of units, what is the unit of luminance?",nit
"In the CGS system of units, what is the unit of electric resistance?",abohm
"In the CGS system of units, what is the unit of electric inductance?",stathenry
"In the MKS system of units, what is the unit of optical power?",dioptre
"In the MKS system of units, what is the unit of time?",svedberg
"In the MKS system of units, what quantity does the unit hebdometre represent?",distance
"In the MKS system of units, what is the unit of mass?",gamma
"In the MKS system of units, what is the unit of time?",svedberg
"In the CGS system of units, what quantity does the unit abfarad represent?",electric capacitance
"In the CGS system of units, what quantity does the unit stathenry represent?",electric inductance
"In the MKS system of units, what quantity does the unit outhouse represent?",area
"In the CGS system of units, what is the unit of force?",dyne
"In the CGS system of units, what quantity does the unit stokes represent?",kinematic viscosity
"In the CGS system of units, what is the unit of electric charge?",statcoulomb
"In the CGS system of units, what quantity does the unit stokes represent?",kinematic viscosity
"In the CGS system of units, what quantity does the unit rayl represent?",specific acoustic impedance
"In the CGS system of units, what quantity does the unit statohm represent?",electric resistance
"In the MKS system of units, what is the symbol of the unit stere?",st
"In the CGS system of units, what is the unit of electric inductance?",abhenry
"In the CGS system of units, what is the unit of electric current?",biot
"In the CGS system of units, what is the unit of electric inductance?",abhenry
"In the MKS system of units, what is the symbol of the unit buckingham?",B
"In the MKS system of units, what is the symbol of the unit talbot?",T
"In the MKS system of units, what is the symbol of the unit myriametre?",mym
"In the MKS system of units, what quantity does the unit hebdometre represent?",distance
"In the CGS system of units, what is the unit of electric current?",statampere
"In the CGS system of units, what is the unit of force?",dyne
"In the MKS system of units, what is the unit of absorbed dose?",rad
"In the CGS system of units, what quantity does the unit statmho represent?",electric conductance
"In the MKS system of units, what is the symbol of the unit stere?",st
"In the CGS system of units, what is the unit of electric conductance?",abmho
"In the CGS system of units, what is the unit of acceleration?",gal
"In the CGS system of units, what quantity does the unit statdaraf represent?",electric elastance
"In the CGS system of units, what quantity does the unit abmho represent?",electric conductance
"In the MKS system of units, what is the symbol of the unit spat?",S
"In the CGS system of units, what quantity does the unit abhenry represent?",electric inductance
"In the MKS system of units, what quantity does the unit micron represent?",distance
"In the MKS system of units, what quantity does the unit outhouse represent?",area
"In the CGS system of units, what quantity does the unit kayser represent?",wavenumber
"In the MKS system of units, what is the symbol of the unit spat?",S
"In the MKS system of units, what is the unit of luminous energy?",talbot
"In the CGS system of units, what quantity does the unit erg represent?",energy
"In the MKS system of units, what is the unit of electric dipole moment?",debye
"In the CGS system of units, what is the symbol of the unit franklin?",Fr
"In the MKS system of units, what quantity does the unit rad represent?",absorbed dose
"In the MKS system of units, what is the unit of frequency?",fresnel
"In the MKS system of units, what quantity does the unit shake represent?",time
"In the MKS system of units, what is the unit of radioactivity?",rutherford
"In the MKS system of units, what is the symbol of the unit cycle per second?",cyc/s
"In the MKS system of units, what quantity does the unit myriametre represent?",distance
"In the CGS system of units, what is the unit of electric resistance?",abohm
"In the MKS system of units, what is the unit of spectral irradiance?",solar flux unit
"In the MTS system of units, what quantity does the unit tonne represent?",mass
"In the MKS system of units, what quantity does the unit jansky represent?",spectral irradiance
"In the MKS system of units, what is the unit of spectral irradiance?",solar flux unit
"In the MKS system of units, what is the unit of gravitational gradient?",eotvos
"In the MKS system of units, what quantity does the unit shake represent?",time
"In the CGS system of units, what is the symbol of the unit statampere?",statA
"In the MKS system of units, what is the symbol of the unit lambert?",L
"In the CGS system of units, what is the symbol of the unit statampere?",statA
"In the MKS system of units, what quantity does the unit hectare represent?",area
"In the CGS system of units, what is the symbol of the unit statfarad?",statF
"In the MKS system of units, what is the unit of frequency?",cycle per second
"In the CGS system of units, what is the unit of electric potential difference?",abvolt
