question,answer
What is the decimal numeral for the roman numeral MMMCXLVIII?,3148
What is the decimal numeral for the roman numeral DCCCXVIII?,818
What is the decimal numeral for the roman numeral MMDCCCXXV?,2825
What is the decimal numeral for the roman numeral DCCCXXI?,821
What is the decimal numeral for the roman numeral MCCLXVI?,1266
What is the decimal numeral for the roman numeral MMMDXXXII?,3532
What is the decimal numeral for the roman numeral MIV?,1004
What is the decimal numeral for the roman numeral DCLXXVI?,676
What is the decimal numeral for the roman numeral MMMCCLXXXIV?,3284
What is the decimal numeral for the roman numeral MMMDV?,3505
What is the decimal numeral for the roman numeral CDXXXVII?,437
What is the decimal numeral for the roman numeral CDXXVII?,427
What is the decimal numeral for the roman numeral MCMLXIX?,1969
What is the decimal numeral for the roman numeral MDCLV?,1655
What is the decimal numeral for the roman numeral MCML?,1950
What is the decimal numeral for the roman numeral MDCXXXVII?,1637
What is the decimal numeral for the roman numeral MCLVI?,1156
What is the decimal numeral for the roman numeral MDCXIV?,1614
What is the decimal numeral for the roman numeral MMMCCXCII?,3292
What is the decimal numeral for the roman numeral CMV?,905
What is the decimal numeral for the roman numeral MMCMXCIV?,2994
What is the decimal numeral for the roman numeral DVI?,506
What is the decimal numeral for the roman numeral MMDCC?,2700
What is the decimal numeral for the roman numeral MDCC?,1700
What is the decimal numeral for the roman numeral DCCXLI?,741
What is the decimal numeral for the roman numeral MMCCLVI?,2256
What is the decimal numeral for the roman numeral MMMCLXXI?,3171
What is the decimal numeral for the roman numeral MDCCCLV?,1855
What is the decimal numeral for the roman numeral MMMDCCLIII?,3753
What is the decimal numeral for the roman numeral MMCCCI?,2301
What is the decimal numeral for the roman numeral MMCCCLXVIII?,2368
What is the decimal numeral for the roman numeral MMMCCXXX?,3230
What is the decimal numeral for the roman numeral MMXLVI?,2046
What is the decimal numeral for the roman numeral MMMDXXVIII?,3528
What is the decimal numeral for the roman numeral MDXLVII?,1547
What is the decimal numeral for the roman numeral MMXCI?,2091
What is the decimal numeral for the roman numeral MMCLXXX?,2180
What is the decimal numeral for the roman numeral MMCMII?,2902
What is the decimal numeral for the roman numeral MDCLXXXV?,1685
