question,answer,type
What is the currency symbol of the currency Uzbekistani sum from Uzbekistan?,Sʻ,symbol_or_abbreviation
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,EC$,symbol_or_abbreviation
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Euro from Greece?,Cent,fractional_unit
What is the ISO code of the currency Belize dollar from Belize?,BZD,iso_code
What is the ISO code of the currency United States dollar from Palau?,USD,iso_code
What is the ISO code of the currency Iranian rial from Iran?,IRR,iso_code
What is the currency symbol of the currency New Zealand dollar from Niue?,$,symbol_or_abbreviation
What is the currency symbol of the currency Fijian dollar from Fiji?,$,symbol_or_abbreviation
What is the currency symbol of the currency Jersey pound from Jersey?,£,symbol_or_abbreviation
What is the fractional unit of the currency West African CFA franc from Burkina Faso?,Centime,fractional_unit
What is the ISO code of the currency Euro from Malta?,EUR,iso_code
What is the currency symbol of the currency Hong Kong dollar from Hong Kong?,$,symbol_or_abbreviation
What is the ISO code of the currency Jordanian dinar from Jordan?,JOD,iso_code
What is the ISO code of the currency South African rand from South Africa?,ZAR,iso_code
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo,fractional_unit
What is the fractional unit of the currency United States dollar from El Salvador?,Cent,fractional_unit
What is the currency symbol of the currency Ukrainian hryvnia from Ukraine?,₴,symbol_or_abbreviation
What is the currency symbol of the currency Israeli new shekel from Israel?,₪,symbol_or_abbreviation
What is the fractional unit of the currency Caribbean guilder from Sint Maarten?,Cent,fractional_unit
What is the ISO code of the currency Euro from Spain?,EUR,iso_code
What is the ISO code of the currency Comorian franc from Comoros?,KMF,iso_code
What is the currency symbol of the currency Euro from Montenegro?,€,symbol_or_abbreviation
What is the ISO code of the currency Malawian kwacha from Malawi?,MWK,iso_code
What is the ISO code of the currency CFP franc from Wallis and Futuna?,XPF,iso_code
What is the fractional unit of the currency Solomon Islands dollar from Solomon Islands?,Cent,fractional_unit
What is the fractional unit of the currency Sterling from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Gibraltar pound from Gibraltar?,Penny,fractional_unit
What is the fractional unit of the currency Tuvaluan dollar from Tuvalu?,Cent,fractional_unit
What is the currency symbol of the currency Saint Helena pound from Saint Helena?,£,symbol_or_abbreviation
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Vincent and the Grenadines?,EC$,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Cyprus?,Cent,fractional_unit
What is the ISO code of the currency Pakistani rupee from Pakistan?,PKR,iso_code
What is the fractional unit of the currency Central African CFA franc from Chad?,Centime,fractional_unit
What is the fractional unit of the currency United States dollar from Micronesia?,Cent,fractional_unit
What is the currency symbol of the currency Euro from France?,€,symbol_or_abbreviation
What is the currency symbol of the currency Brazilian real from Brazil?,R$,symbol_or_abbreviation
What is the ISO code of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,XCD,iso_code
What is the ISO code of the currency Macanese pataca from Macau?,MOP,iso_code
What is the ISO code of the currency CFP franc from New Caledonia?,XPF,iso_code
What is the fractional unit of the currency Sudanese pound from Sudan?,Piastre,fractional_unit
What is the ISO code of the currency Nigerian naira from Nigeria?,NGN,iso_code
What is the currency symbol of the currency CFP franc from French Polynesia?,₣,symbol_or_abbreviation
What is the ISO code of the currency United Arab Emirates dirham from United Arab Emirates?,AED,iso_code
What is the currency symbol of the currency United States dollar[G] from Saba?,$,symbol_or_abbreviation
What is the fractional unit of the currency Dominican peso from Dominican Republic?,Centavo,fractional_unit
What is the ISO code of the currency Angolan kwanza from Angola?,AOA,iso_code
What is the ISO code of the currency Lebanese pound from Lebanon?,LBP,iso_code
What is the currency symbol of the currency Cayman Islands dollar from Cayman Islands?,$,symbol_or_abbreviation
What is the ISO code of the currency Liberian dollar from Liberia?,LRD,iso_code
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime,fractional_unit
What is the fractional unit of the currency Nigerian naira from Nigeria?,Kobo,fractional_unit
What is the currency symbol of the currency Azerbaijani manat from Azerbaijan?,₼,symbol_or_abbreviation
What is the fractional unit of the currency Manx pound from Isle of Man?,Penny,fractional_unit
What is the ISO code of the currency New Taiwan dollar from Taiwan?,TWD,iso_code
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime,fractional_unit
What is the currency symbol of the currency Indian rupee from India?,₹,symbol_or_abbreviation
What is the fractional unit of the currency Sterling from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Canadian dollar from Canada?,Cent,fractional_unit
What is the fractional unit of the currency West African CFA franc from Niger?,Centime,fractional_unit
What is the ISO code of the currency Mauritian rupee from Mauritius?,MUR,iso_code
What is the fractional unit of the currency Euro from Cyprus?,Cent,fractional_unit
What is the ISO code of the currency Turkish lira from Northern Cyprus?,TRY,iso_code
What is the fractional unit of the currency Dominican peso from Dominican Republic?,Centavo,fractional_unit
What is the fractional unit of the currency Pitcairn Islands dollar[E] from Pitcairn Islands?,Cent,fractional_unit
What is the fractional unit of the currency Guyanese dollar from Guyana?,Cent,fractional_unit
What is the currency symbol of the currency Falkland Islands pound from South Georgia and the South Sandwich Islands?,£,symbol_or_abbreviation
What is the fractional unit of the currency Somaliland shilling from Somaliland?,Cent,fractional_unit
What is the currency symbol of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,Db,symbol_or_abbreviation
What is the currency symbol of the currency Bangladeshi taka from Bangladesh?,৳,symbol_or_abbreviation
What is the fractional unit of the currency Sri Lankan rupee from Sri Lanka?,Cent,fractional_unit
What is the ISO code of the currency Cuban peso from Cuba?,CUP,iso_code
What is the currency symbol of the currency Uruguayan peso from Uruguay?,$,symbol_or_abbreviation
What is the currency symbol of the currency Comorian franc from Comoros?,FC,symbol_or_abbreviation
What is the ISO code of the currency Mauritian rupee from Mauritius?,MUR,iso_code
What is the currency symbol of the currency Singapore dollar from Singapore[M]?,$,symbol_or_abbreviation
What is the currency symbol of the currency Jordanian dinar from Palestine[K]?,JD,symbol_or_abbreviation
What is the currency symbol of the currency Qatari riyal from Qatar?,QR,symbol_or_abbreviation
What is the fractional unit of the currency Kenyan shilling from Kenya?,Cent,fractional_unit
What is the currency symbol of the currency United States dollar from Ecuador?,$,symbol_or_abbreviation
What is the currency symbol of the currency West African CFA franc from Mali?,F.CFA,symbol_or_abbreviation
"What is the currency symbol of the currency Congolese franc from Congo, Democratic Republic of the?",FC,symbol_or_abbreviation
What is the ISO code of the currency Brazilian real from Brazil?,BRL,iso_code
What is the fractional unit of the currency Swiss franc from Switzerland?,Rappen[N],fractional_unit
What is the currency symbol of the currency Cook Islands dollar from Cook Islands?,$,symbol_or_abbreviation
What is the ISO code of the currency Euro from Estonia?,EUR,iso_code
What is the ISO code of the currency Israeli new shekel from Palestine[K]?,ILS,iso_code
What is the fractional unit of the currency Bermudian dollar from Bermuda?,Cent,fractional_unit
What is the currency symbol of the currency Sierra Leonean leone from Sierra Leone?,Le,symbol_or_abbreviation
What is the currency symbol of the currency Lao kip from Laos?,₭,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Lithuania?,Cent,fractional_unit
What is the ISO code of the currency Surinamese dollar from Suriname?,SRD,iso_code
What is the ISO code of the currency Lao kip from Laos?,LAK,iso_code
What is the currency symbol of the currency Burmese kyat from Myanmar?,K or Ks (pl.),symbol_or_abbreviation
What is the ISO code of the currency Lebanese pound from Lebanon?,LBP,iso_code
What is the fractional unit of the currency Bulgarian lev from Bulgaria?,Stotinka,fractional_unit
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
What is the currency symbol of the currency Japanese yen from Japan?,¥,symbol_or_abbreviation
What is the currency symbol of the currency Fijian dollar from Fiji?,$,symbol_or_abbreviation
What is the ISO code of the currency Euro from Monaco?,EUR,iso_code
What is the currency symbol of the currency Russian ruble from South Ossetia?,₽,symbol_or_abbreviation
What is the currency symbol of the currency Gibraltar pound from Gibraltar?,£,symbol_or_abbreviation
What is the currency symbol of the currency United States dollar from Marshall Islands?,$,symbol_or_abbreviation
What is the fractional unit of the currency Moroccan dirham from Morocco?,Centime,fractional_unit
What is the ISO code of the currency Cape Verdean escudo from Cape Verde?,CVE,iso_code
What is the currency symbol of the currency Eastern Caribbean dollar from Anguilla?,EC$,symbol_or_abbreviation
What is the ISO code of the currency Sterling from Bailiwick of Guernsey?,GBP,iso_code
What is the currency symbol of the currency Bolivian boliviano from Bolivia?,Bs,symbol_or_abbreviation
What is the ISO code of the currency Dominican peso from Dominican Republic?,DOP,iso_code
What is the fractional unit of the currency Fijian dollar from Fiji?,Cent,fractional_unit
What is the fractional unit of the currency Singapore dollar from Brunei[H]?,Cent,fractional_unit
What is the fractional unit of the currency Icelandic króna from Iceland?,Eyrir,fractional_unit
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime,fractional_unit
What is the currency symbol of the currency Egyptian pound from Palestine[K]?,LE,symbol_or_abbreviation
What is the ISO code of the currency Algerian dinar from Algeria?,DZD,iso_code
What is the fractional unit of the currency United States dollar[G] from Saba?,Cent,fractional_unit
What is the fractional unit of the currency Manx pound from Isle of Man?,Penny,fractional_unit
What is the fractional unit of the currency Jersey pound from Jersey?,Penny,fractional_unit
What is the currency symbol of the currency West African CFA franc from Burkina Faso?,F.CFA,symbol_or_abbreviation
What is the currency symbol of the currency Burundian franc from Burundi?,FBu,symbol_or_abbreviation
What is the ISO code of the currency United States dollar from Micronesia?,USD,iso_code
What is the fractional unit of the currency Iraqi dinar from Iraq?,Fils,fractional_unit
What is the currency symbol of the currency Danish krone from Greenland?,kr,symbol_or_abbreviation
What is the fractional unit of the currency Mongolian tögrög from Mongolia?,Möngö,fractional_unit
What is the ISO code of the currency United Arab Emirates dirham from United Arab Emirates?,AED,iso_code
What is the ISO code of the currency Bhutanese ngultrum[F] from Bhutan?,BTN,iso_code
What is the fractional unit of the currency Transnistrian ruble from Transnistria?,Kopeck,fractional_unit
What is the fractional unit of the currency Uzbekistani sum from Uzbekistan?,Tiyin,fractional_unit
What is the currency symbol of the currency Euro from Spain?,€,symbol_or_abbreviation
"What is the fractional unit of the currency North Korean won from Korea, North?",Chon,fractional_unit
What is the fractional unit of the currency Sterling from Saint Helena?,Penny,fractional_unit
What is the fractional unit of the currency Saudi riyal from Saudi Arabia?,Halala,fractional_unit
What is the ISO code of the currency Mauritanian ouguiya from Mauritania?,MRU,iso_code
What is the currency symbol of the currency Tongan paʻanga[O] from Tonga?,T$,symbol_or_abbreviation
What is the ISO code of the currency Japanese yen from Japan?,JPY,iso_code
What is the fractional unit of the currency Swazi lilangeni from Eswatini?,Cent,fractional_unit
What is the currency symbol of the currency Lao kip from Laos?,₭,symbol_or_abbreviation
What is the ISO code of the currency Caribbean guilder from Sint Maarten?,XCG,iso_code
What is the fractional unit of the currency Somaliland shilling from Somaliland?,Cent,fractional_unit
What is the ISO code of the currency Sri Lankan rupee from Sri Lanka?,LKR,iso_code
What is the ISO code of the currency West African CFA franc from Mali?,XOF,iso_code
What is the currency symbol of the currency Euro from Kosovo?,€,symbol_or_abbreviation
What is the ISO code of the currency Namibian dollar from Namibia?,NAD,iso_code
What is the currency symbol of the currency South African rand from Namibia?,R,symbol_or_abbreviation
What is the currency symbol of the currency Nigerian naira from Nigeria?,₦,symbol_or_abbreviation
What is the fractional unit of the currency Danish krone from Denmark?,Øre,fractional_unit
What is the ISO code of the currency Sierra Leonean leone from Sierra Leone?,SLE,iso_code
What is the ISO code of the currency Surinamese dollar from Suriname?,SRD,iso_code
What is the currency symbol of the currency Bahraini dinar from Bahrain?,BD,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Latvia?,Cent,fractional_unit
What is the currency symbol of the currency Fijian dollar from Fiji?,$,symbol_or_abbreviation
What is the currency symbol of the currency Serbian dinar from Serbia?,DIN,symbol_or_abbreviation
What is the ISO code of the currency Zimbabwe gold from Zimbabwe?,ZWG,iso_code
What is the fractional unit of the currency Bermudian dollar from Bermuda?,Cent,fractional_unit
What is the fractional unit of the currency Euro from France?,Cent,fractional_unit
What is the currency symbol of the currency Sterling from Isle of Man?,£,symbol_or_abbreviation
What is the fractional unit of the currency Euro from Italy?,Cent,fractional_unit
What is the currency symbol of the currency Japanese yen from Japan?,¥,symbol_or_abbreviation
What is the fractional unit of the currency Indian rupee from Bhutan?,Paisa,fractional_unit
What is the currency symbol of the currency Kenyan shilling from Kenya?,Sh or Shs (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Samoan tālā from Samoa?,Sene,fractional_unit
What is the ISO code of the currency Cambodian riel from Cambodia?,KHR,iso_code
What is the currency symbol of the currency Singapore dollar from Brunei[H]?,$,symbol_or_abbreviation
What is the ISO code of the currency Yemeni rial from Yemen?,YER,iso_code
What is the fractional unit of the currency Serbian dinar from Serbia?,Para,fractional_unit
What is the ISO code of the currency Lesotho loti from Lesotho?,LSL,iso_code
What is the fractional unit of the currency Turkish lira from Northern Cyprus?,Kuruş,fractional_unit
What is the ISO code of the currency Hungarian forint from Hungary?,HUF,iso_code
What is the fractional unit of the currency Singapore dollar from Singapore[M]?,Cent,fractional_unit
What is the currency symbol of the currency Australian dollar from Kiribati?,$,symbol_or_abbreviation
What is the currency symbol of the currency Renminbi from China?,¥,symbol_or_abbreviation
What is the ISO code of the currency Gibraltar pound from Gibraltar?,GIP,iso_code
"What is the ISO code of the currency South Korean won from Korea, South?",KRW,iso_code
What is the fractional unit of the currency Central African CFA franc from Gabon?,Centime,fractional_unit
What is the ISO code of the currency Mexican peso from Mexico?,MXN,iso_code
What is the fractional unit of the currency Euro from Portugal?,Cent,fractional_unit
What is the ISO code of the currency United States dollar from United States?,USD,iso_code
What is the fractional unit of the currency Euro from Kosovo?,Cent,fractional_unit
What is the fractional unit of the currency Bhutanese ngultrum[F] from Bhutan?,Chetrum,fractional_unit
What is the ISO code of the currency United States dollar from El Salvador?,USD,iso_code
What is the ISO code of the currency United States dollar from Liberia?,USD,iso_code
What is the ISO code of the currency Nicaraguan córdoba from Nicaragua?,NIO,iso_code
What is the fractional unit of the currency Eastern Caribbean dollar from Antigua and Barbuda?,Cent,fractional_unit
What is the fractional unit of the currency Romanian leu from Romania?,Ban,fractional_unit
What is the currency symbol of the currency Abkhazian apsar[E] from Abkhazia?,аҧ,symbol_or_abbreviation
What is the ISO code of the currency Euro from Portugal?,EUR,iso_code
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny,fractional_unit
What is the fractional unit of the currency Mozambican metical from Mozambique?,Centavo,fractional_unit
What is the ISO code of the currency CFP franc from French Polynesia?,XPF,iso_code
What is the currency symbol of the currency Iranian rial from Iran?,Rl or Rls (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Sterling from Falkland Islands?,Penny,fractional_unit
What is the fractional unit of the currency Sterling from Saint Helena?,Penny,fractional_unit
What is the fractional unit of the currency Euro from Akrotiri and Dhekelia?,Cent,fractional_unit
What is the currency symbol of the currency Surinamese dollar from Suriname?,$,symbol_or_abbreviation
What is the ISO code of the currency West African CFA franc from Mali?,XOF,iso_code
What is the ISO code of the currency Euro from Netherlands[G]?,EUR,iso_code
What is the currency symbol of the currency Euro from Akrotiri and Dhekelia?,€,symbol_or_abbreviation
What is the fractional unit of the currency Kuwaiti dinar from Kuwait?,Fils,fractional_unit
What is the ISO code of the currency Israeli new shekel from Palestine[K]?,ILS,iso_code
What is the fractional unit of the currency Honduran lempira from Honduras?,Centavo,fractional_unit
What is the currency symbol of the currency Czech koruna from Czech Republic?,Kč,symbol_or_abbreviation
What is the fractional unit of the currency Chilean peso from Chile?,Centavo,fractional_unit
What is the ISO code of the currency Macedonian denar from North Macedonia?,MKD,iso_code
What is the currency symbol of the currency Samoan tālā from Samoa?,$,symbol_or_abbreviation
