question,answer
What is the ICAO code for Kandep Airport?,AYNN
What is the ICAO code for Guernsey Airport?,EGJB
What is the ICAO code for Lashio Airport?,VYLS
What is the ICAO code for El Palomar Airport?,SADP
What is the ICAO code for Karkar Airport?,AYKR
What is the ICAO code for Iranshahr Airport?,OIZI
What is the ICAO code for Gjögur Airport?,BIGJ
What is the ICAO code for Ouanaham Airport?,NWWL
What is the ICAO code for Tawau Airport?,WBKW
What is the ICAO code for Tatakoto Airport?,NTGO
What is the ICAO code for Araçatuba Airport?,SBAU
What is the ICAO code for Whalsay Airstrip?,EGEH
What is the ICAO code for Hanksville Airport?,KHVE
What is the ICAO code for Gode Airport?,HAGO
What is the ICAO code for Patreksfjörður Airport?,BIPA
What is the ICAO code for Soroti Airport?,HUSO
What is the ICAO code for Badajoz Airport?,LEBZ
What is the ICAO code for Radom Airport?,EPRA
What is the ICAO code for Gachsaran Airport?,OIAH
What is the ICAO code for Zenata – Messali El Hadj Airport?,DAON
What is the ICAO code for Wānaka Airport?,NZWF
What is the ICAO code for Gelendzhik Airport?,URKG
What is the ICAO code for Bhavnagar Airport?,VABV
What is the ICAO code for Beijing Nanyuan Airport?,ZBNY
What is the ICAO code for Volgodonsk Airport?,URRY
What is the ICAO code for Hancock County-Bar Harbor Airport?,KBHB
What is the ICAO code for Harare International Airport?,FVHA
What is the ICAO code for Umiujaq Airport?,CYMU
What is the ICAO code for Khartoum International Airport?,HSSK
What is the ICAO code for Brawley Municipal Airport?,KBWC
What is the ICAO code for Ficksburg Airport?,FAFB
What is the ICAO code for Poptún Airport?,MGPP
What is the ICAO code for Mougulu Airport?,AYML
What is the ICAO code for Mangaia Airport?,NCMG
What is the ICAO code for Carlisle Lake District Airport?,EGNC
What is the ICAO code for Tokachi–Obihiro Airport?,RJCB
What is the ICAO code for Ulyanovsk Baratayevka Airport?,UWLL
What is the ICAO code for Valle del Conlara Airport?,SAOS
What is the ICAO code for Beersheba Airport?,LLBS
What is the ICAO code for Divo Airport?,DIDV
What is the ICAO code for Augusto C. Sandino International Airport?,MNMG
What is the ICAO code for Nagoya Airfield?,RJNA
What is the ICAO code for Roben–Hood Airport?,KRQB
What is the ICAO code for Zhangye Ganzhou Airport?,ZLZY
What is the ICAO code for Tardamu Airport?,WATS
What is the ICAO code for Phu Cat Airport?,VVPC
What is the ICAO code for Merced Regional Airport?,KMCE
What is the ICAO code for Huangshan Tunxi International Airport?,ZSTX
What is the ICAO code for Mitchell Municipal Airport?,KMHE
What is the ICAO code for Saadah Airport?,OYSH
What is the ICAO code for Louisa County Airport?,KLKU
What is the ICAO code for Montevideo–Chippewa County Airport?,KMVE
What is the ICAO code for Beauregard Regional Airport?,KDRI
What is the ICAO code for Salamanca Airport?,LESA
What is the ICAO code for Feijó Airport?,SNOU
What is the ICAO code for Waco Kungo Airport?,FNWK
What is the ICAO code for Imperial County Airport?,KIPL
What is the ICAO code for Williamsport Regional Airport?,KIPT
What is the ICAO code for Concord Municipal Airport?,KCON
What is the ICAO code for Noto Airport?,RJNW
What is the ICAO code for Sultan Azlan Shah Airport?,WMKI
What is the ICAO code for Kamloops Airport?,CYKA
What is the ICAO code for Clark International Airport?,RPLC
What is the ICAO code for Cache Creek Airport?,CYZA
What is the ICAO code for Futaleufú Airfield?,SCFT
"What is the ICAO code for Stavanger Airport, Sola?",ENZV
What is the ICAO code for Rubem Berta International Airport?,SBUG
What is the ICAO code for Arroyo Barril Airport?,MDAB
What is the ICAO code for Bulchi Airport?,HABU
What is the ICAO code for Beaumont Municipal Airport?,KBMT
What is the ICAO code for Veliky Ustyug Airport?,ULWU
What is the ICAO code for Bradley International Airport?,KBDL
What is the ICAO code for Pasighat Airport?,VEPG
What is the ICAO code for Montpellier–Méditerranée Airport?,LFMT
What is the ICAO code for Harrisburg International Airport?,KMDT
What is the ICAO code for Kalumburu Airport?,YKAL
What is the ICAO code for Mala Mala Airport?,FAMD
What is the ICAO code for Drysdale River Airport?,YDRD
What is the ICAO code for Ein Yahav Airfield?,LLEY
What is the ICAO code for Sucúa Airport?,SESC
What is the ICAO code for Ozark Regional Airport?,KBPK
What is the ICAO code for São Lourenço Airport?,SNLO
What is the ICAO code for Mid-Ohio Valley Regional Airport?,KPKB
What is the ICAO code for M'Boki Airport?,FEGE
What is the ICAO code for Delaware County Regional Airport?,KMIE
What is the ICAO code for Coonabarabran Airport?,YCBB
What is the ICAO code for Greater Binghamton Airport?,KBGM
What is the ICAO code for Aumo Airport?,AYUM
What is the ICAO code for Altus/Quartz Mountain Regional Airport?,KAXS
What is the ICAO code for Djambala Airport?,FCBD
What is the ICAO code for Northwest Regional Airport?,CYXT
What is the ICAO code for Ashley Municipal Airport?,KASY
What is the ICAO code for Blackwater Airport?,YBTR
What is the ICAO code for Tashkurgan Khunjerab Airport?,ZWTK
