question,answer
"In the CGS system of units, what is the symbol of the unit statwatt?",statW
"In the CGS system of units, what is the symbol of the unit statampere?",statA
"In the MTS system of units, what is the symbol of the unit sthène?",sn
"In the MKS system of units, what is the symbol of the unit roentgen equivalent man?",rem
"In the MKS system of units, what is the symbol of the unit rutherford?",Rd
"In the CGS system of units, what is the symbol of the unit statdaraf?",statD
"In the CGS system of units, what is the symbol of the unit statcoulomb?",statC
"In the MKS system of units, what is the symbol of the unit spat?",S
"In the CGS system of units, what is the symbol of the unit abvolt?",abV
"In the MKS system of units, what is the symbol of the unit rad?",rad
"In the MKS system of units, what is the symbol of the unit decare?",daa
"In the CGS system of units, what is the symbol of the unit poise?",P
"In the MKS system of units, what is the symbol of the unit buckingham?",B
"In the CGS system of units, what is the symbol of the unit abcoulomb?",abC
"In the CGS system of units, what is the symbol of the unit abampere?",abA
"In the MKS system of units, what is the symbol of the unit jansky?",Jy
"In the CGS system of units, what is the symbol of the unit biot?",Bi
"In the MKS system of units, what is the symbol of the unit are?",a
"In the CGS system of units, what is the symbol of the unit erg?",erg
"In the MKS system of units, what is the symbol of the unit nit?",nt
"In the MKS system of units, what is the symbol of the unit bar?",bar
"In the MKS system of units, what is the symbol of the unit barn?",b
"In the MKS system of units, what is the symbol of the unit svedberg?",S
"In the MKS system of units, what is the symbol of the unit litre?",l
"In the MKS system of units, what is the symbol of the unit sverdrup?",Sv
"In the CGS system of units, what is the symbol of the unit maxwell?",Mx
"In the CGS system of units, what is the symbol of the unit gal?",Gal
"In the MKS system of units, what is the symbol of the unit stere?",st
"In the MKS system of units, what is the symbol of the unit mho?",℧
"In the MTS system of units, what is the symbol of the unit tonne?",t
"In the MKS system of units, what is the symbol of the unit metre sea water?",msw
"In the CGS system of units, what is the symbol of the unit kayser?",K
"In the MKS system of units, what is the symbol of the unit poncelet?",p
"In the CGS system of units, what is the symbol of the unit stilb?",sb
"In the MKS system of units, what is the symbol of the unit talbot?",T
"In the MKS system of units, what is the symbol of the unit eotvos?",E
"In the MKS system of units, what is the symbol of the unit debye?",D
"In the CGS system of units, what is the symbol of the unit barye?",Ba
"In the CGS system of units, what is the symbol of the unit abwatt?",abW
"In the MKS system of units, what is the symbol of the unit tex?",tex
"In the CGS system of units, what is the symbol of the unit dyne?",dyn
"In the CGS system of units, what is the symbol of the unit phot?",ph
"In the CGS system of units, what is the symbol of the unit franklin?",Fr
"In the MKS system of units, what is the symbol of the unit rayleigh?",R
"In the MKS system of units, what is the symbol of the unit hectare?",ha
"In the CGS system of units, what is the symbol of the unit gilbert?",Gb
"In the MTS system of units, what is the symbol of the unit pièze?",pz
"In the CGS system of units, what is the symbol of the unit statvolt?",statV
"In the CGS system of units, what is the symbol of the unit statfarad?",statF
"In the MKS system of units, what is the symbol of the unit angstrom?",Å
