question,answer
"In the MKS system of units, what is the unit of area?",shed
"In the CGS system of units, what is the unit of pressure?",barye
"In the CGS system of units, what is the unit of kinematic viscosity?",stokes
"In the MKS system of units, what is the unit of volume?",lambda
"In the CGS system of units, what is the unit of electric conductance?",statsiemens
"In the MKS system of units, what is the unit of pressure?",metre sea water
"In the CGS system of units, what is the unit of energy?",erg
"In the MKS system of units, what is the unit of electric resistance?",Siemens mercury unit
"In the MKS system of units, what is the unit of mass?",hyl
"In the CGS system of units, what is the unit of magnetic field strength?",oersted
"In the MKS system of units, what is the unit of radioactivity?",rutherford
"In the MKS system of units, what is the unit of absorbed dose?",rad
"In the MKS system of units, what is the unit of acceleration?",leo
"In the CGS system of units, what is the unit of acceleration?",gal
"In the MKS system of units, what is the unit of electric quadrupole moment?",buckingham
"In the MKS system of units, what is the unit of distance?",fermi
"In the CGS system of units, what is the unit of specific acoustic impedance?",rayl
"In the MKS system of units, what is the unit of speed?",benz
"In the MKS system of units, what is the unit of electric dipole moment?",debye
"In the MKS system of units, what is the unit of acoustic impedance?",MKS rayl
"In the MKS system of units, what is the unit of equivalent dose?",roentgen equivalent man
"In the CGS system of units, what is the unit of power?",statwatt
"In the MKS system of units, what is the unit of dynamic viscosity?",poiseuille
"In the MKS system of units, what is the unit of illuminance?",nox
"In the MTS system of units, what is the unit of force?",sthène
"In the MKS system of units, what is the unit of electric conductance?",mho
"In the CGS system of units, what is the unit of electric inductance?",stathenry
"In the CGS system of units, what is the unit of electric capacitance?",statfarad
"In the CGS system of units, what is the unit of electric resistance?",statohm
"In the MKS system of units, what is the unit of photon flux rate density?",rayleigh
"In the CGS system of units, what is the unit of luminance?",stilb
"In the CGS system of units, what is the unit of dynamic viscosity?",poise
"In the MKS system of units, what is the unit of time?",svedberg
"In the MKS system of units, what is the unit of luminance?",nit
"In the CGS system of units, what is the unit of magnetic flux density?",stattesla
"In the MKS system of units, what is the unit of gravitational gradient?",eotvos
"In the CGS system of units, what is the unit of electric potential difference?",statvolt
"In the MKS system of units, what is the unit of linear mass density?",tex
"In the MTS system of units, what is the unit of pressure?",pièze
"In the MKS system of units, what is the unit of optical power?",dioptre
"In the CGS system of units, what is the unit of electric current?",statampere
"In the MKS system of units, what is the unit of luminous energy?",lumerg
"In the MKS system of units, what is the unit of frequency?",cycle per second
"In the MKS system of units, what is the unit of volume flow rate?",sverdrup
