question,answer
What is the currency symbol of the currency Liberian dollar from Liberia?,$
What is the currency symbol of the currency United States dollar[G] from Bonaire?,$
What is the currency symbol of the currency Turkmenistani manat from Turkmenistan?,m
What is the currency symbol of the currency Indonesian rupiah from Indonesia?,Rp
What is the currency symbol of the currency Sahrawi peseta from Sahrawi Republic[L]?,Pta or Pts (pl.)
What is the currency symbol of the currency West African CFA franc from Togo?,F.CFA
What is the currency symbol of the currency Lao kip from Laos?,₭
What is the currency symbol of the currency United States dollar from Turks and Caicos Islands?,$
What is the currency symbol of the currency Euro from Montenegro?,€
"What is the currency symbol of the currency North Korean won from Korea, North?",₩
What is the currency symbol of the currency Namibian dollar from Namibia?,$
What is the currency symbol of the currency Mauritanian ouguiya from Mauritania?,UM
What is the currency symbol of the currency Niue dollar[E] from Niue?,$
What is the currency symbol of the currency Azerbaijani manat from Azerbaijan?,₼
What is the currency symbol of the currency Russian ruble from South Ossetia?,₽
What is the currency symbol of the currency Georgian lari from Georgia?,₾
What is the currency symbol of the currency Kenyan shilling from Kenya?,Sh or Shs (pl.)
What is the currency symbol of the currency Central African CFA franc from Chad?,F.CFA
What is the currency symbol of the currency Iraqi dinar from Iraq?,ID
What is the currency symbol of the currency Kazakhstani tenge from Kazakhstan?,₸
What is the currency symbol of the currency Serbian dinar from Serbia?,DIN
What is the currency symbol of the currency Euro from Malta?,€
What is the currency symbol of the currency Sierra Leonean leone from Sierra Leone?,Le
What is the currency symbol of the currency Cayman Islands dollar from Cayman Islands?,$
What is the currency symbol of the currency Euro from Montenegro?,€
What is the currency symbol of the currency Euro from France?,€
What is the currency symbol of the currency Renminbi from China?,¥
What is the currency symbol of the currency Sahrawi peseta from Sahrawi Republic[L]?,Pta or Pts (pl.)
What is the currency symbol of the currency Panamanian balboa from Panama?,B/
What is the currency symbol of the currency West African CFA franc from Mali?,F.CFA
What is the currency symbol of the currency Czech koruna from Czech Republic?,Kč
What is the currency symbol of the currency Russian ruble from Russia?,₽
What is the currency symbol of the currency Moroccan dirham from Morocco?,DH
What is the currency symbol of the currency Central African CFA franc from Chad?,F.CFA
What is the currency symbol of the currency Macanese pataca from Macau?,$ or ptc
What is the currency symbol of the currency Liberian dollar from Liberia?,$
What is the currency symbol of the currency Danish krone from Faroe Islands?,kr
What is the currency symbol of the currency Romanian leu from Romania?,Leu or Lei (pl.)
What is the currency symbol of the currency Sterling from Isle of Man?,£
What is the currency symbol of the currency Euro from Austria?,€
What is the currency symbol of the currency Euro from Montenegro?,€
What is the currency symbol of the currency Saint Helena pound from Saint Helena?,£
What is the currency symbol of the currency Lao kip from Laos?,₭
What is the currency symbol of the currency Euro from Vatican City?,€
What is the currency symbol of the currency Azerbaijani manat from Azerbaijan?,₼
What is the currency symbol of the currency Ukrainian hryvnia from Ukraine?,₴
What is the currency symbol of the currency Central African CFA franc from Chad?,F.CFA
What is the currency symbol of the currency Euro from Belgium?,€
What is the currency symbol of the currency Polish złoty from Poland?,zł
What is the currency symbol of the currency West African CFA franc from Guinea-Bissau?,F.CFA
What is the currency symbol of the currency Czech koruna from Czech Republic?,Kč
What is the currency symbol of the currency Pitcairn Islands dollar[E] from Pitcairn Islands?,$
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,EC$
What is the currency symbol of the currency Eastern Caribbean dollar from Saint Kitts and Nevis?,EC$
What is the currency symbol of the currency Moroccan dirham from Sahrawi Republic[L]?,DH
What is the currency symbol of the currency Australian dollar from Nauru?,$
What is the currency symbol of the currency Afghan afghani from Afghanistan?,؋‎
What is the currency symbol of the currency Thai baht from Thailand?,฿
What is the currency symbol of the currency New Zealand dollar from Cook Islands?,$
What is the currency symbol of the currency Jersey pound from Jersey?,£
What is the currency symbol of the currency Solomon Islands dollar from Solomon Islands?,$
What is the currency symbol of the currency Euro from Greece?,€
What is the currency symbol of the currency Sterling from South Georgia and the South Sandwich Islands?,£
What is the currency symbol of the currency Euro from Greece?,€
What is the currency symbol of the currency Vanuatu vatu from Vanuatu?,VT
What is the currency symbol of the currency Burmese kyat from Myanmar?,K or Ks (pl.)
What is the currency symbol of the currency Euro from Andorra?,€
What is the currency symbol of the currency Uruguayan peso from Uruguay?,$
What is the currency symbol of the currency Moroccan dirham from Sahrawi Republic[L]?,DH
What is the currency symbol of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,Db
What is the currency symbol of the currency Sterling from United Kingdom?,£
What is the currency symbol of the currency New Zealand dollar from Pitcairn Islands?,$
What is the currency symbol of the currency Tunisian dinar from Tunisia?,DT
What is the currency symbol of the currency Ghanaian cedi from Ghana?,₵
What is the currency symbol of the currency West African CFA franc from Togo?,F.CFA
What is the currency symbol of the currency Eastern Caribbean dollar from Dominica?,EC$
What is the currency symbol of the currency Danish krone from Greenland?,kr
What is the currency symbol of the currency Pakistani rupee from Pakistan?,Re or Rs (pl.)
What is the currency symbol of the currency Chilean peso from Chile?,$
What is the currency symbol of the currency Bermudian dollar from Bermuda?,$
What is the currency symbol of the currency Somaliland shilling from Somaliland?,Sh or Shs (pl.)
What is the currency symbol of the currency New Zealand dollar from New Zealand?,$
What is the currency symbol of the currency Qatari riyal from Qatar?,QR
What is the currency symbol of the currency Cayman Islands dollar from Cayman Islands?,$
What is the currency symbol of the currency Vietnamese đồng from Vietnam?,₫
What is the currency symbol of the currency Kuwaiti dinar from Kuwait?,KD
What is the currency symbol of the currency Swedish krona from Sweden?,kr
What is the currency symbol of the currency Euro from Akrotiri and Dhekelia?,€
What is the currency symbol of the currency Botswana pula from Botswana?,P
What is the currency symbol of the currency Sudanese pound from Sudan?,LS
What is the currency symbol of the currency Euro from Estonia?,€
What is the currency symbol of the currency Lesotho loti from Lesotho?,L or M (pl.)
What is the currency symbol of the currency Nepalese rupee from Nepal?,रु
What is the currency symbol of the currency Zimbabwe gold from Zimbabwe?,ZiG
What is the currency symbol of the currency Abkhazian apsar[E] from Abkhazia?,аҧ
What is the currency symbol of the currency Indian rupee from Bhutan?,₹
What is the currency symbol of the currency Euro from Luxembourg?,€
What is the currency symbol of the currency Tanzanian shilling from Tanzania?,Sh or Shs (pl.)
What is the currency symbol of the currency Eastern Caribbean dollar from Montserrat?,EC$
What is the currency symbol of the currency Danish krone from Denmark?,kr
What is the currency symbol of the currency Moroccan dirham from Morocco?,DH
What is the currency symbol of the currency Saint Helena pound from Ascension Island?,£
What is the currency symbol of the currency Kuwaiti dinar from Kuwait?,KD
What is the currency symbol of the currency Abkhazian apsar[E] from Abkhazia?,аҧ
What is the currency symbol of the currency Central African CFA franc from Chad?,F.CFA
"What is the currency symbol of the currency Congolese franc from Congo, Democratic Republic of the?",FC
What is the currency symbol of the currency Euro from Monaco?,€
What is the currency symbol of the currency New Zealand dollar from Pitcairn Islands?,$
What is the currency symbol of the currency Euro from Monaco?,€
What is the currency symbol of the currency Australian dollar from Nauru?,$
What is the currency symbol of the currency Bermudian dollar from Bermuda?,$
What is the currency symbol of the currency New Zealand dollar from Pitcairn Islands?,$
What is the currency symbol of the currency United States dollar from Turks and Caicos Islands?,$
