question,answer
What is the fractional unit of the currency Bangladeshi taka from Bangladesh?,Poisha
What is the fractional unit of the currency Euro from Monaco?,Cent
What is the fractional unit of the currency Euro from Slovakia?,Cent
What is the fractional unit of the currency Moroccan dirham from Sahrawi Republic[L]?,Centime
What is the fractional unit of the currency Peruvian sol from Peru?,Céntimo
What is the fractional unit of the currency Botswana pula from Botswana?,Thebe
What is the fractional unit of the currency Eastern Caribbean dollar from Antigua and Barbuda?,Cent
What is the fractional unit of the currency West African CFA franc from Togo?,Centime
What is the fractional unit of the currency Canadian dollar from Canada?,Cent
What is the fractional unit of the currency Euro from Vatican City?,Cent
What is the fractional unit of the currency West African CFA franc from Senegal?,Centime
What is the fractional unit of the currency Zambian kwacha from Zambia?,Ngwee
What is the fractional unit of the currency Guinean franc from Guinea?,Centime
What is the fractional unit of the currency Lao kip from Laos?,Att
What is the fractional unit of the currency Hungarian forint from Hungary?,Fillér
What is the fractional unit of the currency Japanese yen from Japan?,Sen[C]
What is the fractional unit of the currency Euro from Portugal?,Cent
What is the fractional unit of the currency Albanian lek from Albania?,Qintar
What is the fractional unit of the currency Moroccan dirham from Morocco?,Centime
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent
What is the fractional unit of the currency Ghanaian cedi from Ghana?,Pesewa
What is the fractional unit of the currency Guatemalan quetzal from Guatemala?,Centavo
What is the fractional unit of the currency CFP franc from French Polynesia?,Centime
What is the fractional unit of the currency Libyan dinar from Libya?,Dirham
What is the fractional unit of the currency Euro from Latvia?,Cent
What is the fractional unit of the currency Israeli new shekel from Israel?,Agora
What is the fractional unit of the currency Euro from San Marino?,Cent
What is the fractional unit of the currency Swiss franc from Liechtenstein?,Rappen
What is the fractional unit of the currency Euro from Austria?,Cent
What is the fractional unit of the currency Cape Verdean escudo from Cape Verde?,Centavo
What is the fractional unit of the currency Venezuelan sovereign bolívar from Venezuela?,Céntimo
What is the fractional unit of the currency Bulgarian lev from Bulgaria?,Stotinka
What is the fractional unit of the currency Brazilian real from Brazil?,Centavo
What is the fractional unit of the currency Russian ruble from South Ossetia?,Kopeck
What is the fractional unit of the currency Sterling from Gibraltar?,Penny
What is the fractional unit of the currency Bermudian dollar from Bermuda?,Cent
What is the fractional unit of the currency Burmese kyat from Myanmar?,Pya
What is the fractional unit of the currency West African CFA franc from Guinea-Bissau?,Centime
What is the fractional unit of the currency Moroccan dirham from Sahrawi Republic[L]?,Centime
What is the fractional unit of the currency Paraguayan guaraní from Paraguay?,Céntimo
What is the fractional unit of the currency Malawian kwacha from Malawi?,Tambala
What is the fractional unit of the currency Omani rial from Oman?,Baisa
What is the fractional unit of the currency Euro from San Marino?,Cent
What is the fractional unit of the currency Japanese yen from Japan?,Sen[C]
What is the fractional unit of the currency Swiss franc from Switzerland?,Rappen[N]
What is the fractional unit of the currency Sahrawi peseta from Sahrawi Republic[L]?,Centime
What is the fractional unit of the currency Danish krone from Denmark?,Øre
What is the fractional unit of the currency Dominican peso from Dominican Republic?,Centavo
What is the fractional unit of the currency Euro from San Marino?,Cent
What is the fractional unit of the currency Singapore dollar from Brunei[H]?,Cent
What is the fractional unit of the currency New Zealand dollar from Cook Islands?,Cent
What is the fractional unit of the currency Falkland Islands pound from South Georgia and the South Sandwich Islands?,Penny
What is the fractional unit of the currency Kazakhstani tenge from Kazakhstan?,Tıyn
What is the fractional unit of the currency Central African CFA franc from Chad?,Centime
What is the fractional unit of the currency South African rand from Namibia?,Cent
What is the fractional unit of the currency Sahrawi peseta from Sahrawi Republic[L]?,Centime
What is the fractional unit of the currency Ghanaian cedi from Ghana?,Pesewa
What is the fractional unit of the currency New Zealand dollar from Cook Islands?,Cent
What is the fractional unit of the currency United States dollar from Turks and Caicos Islands?,Cent
What is the fractional unit of the currency Moldovan leu from Moldova?,Ban
What is the fractional unit of the currency Albanian lek from Albania?,Qintar
What is the fractional unit of the currency United States dollar from Marshall Islands?,Cent
What is the fractional unit of the currency Central African CFA franc from Central African Republic?,Centime
What is the fractional unit of the currency Cook Islands dollar from Cook Islands?,Cent
What is the fractional unit of the currency Venezuelan digital bolívar from Venezuela?,Céntimo
What is the fractional unit of the currency New Zealand dollar from Niue?,Cent
What is the fractional unit of the currency Bosnia and Herzegovina convertible mark from Bosnia and Herzegovina?,Fening
What is the fractional unit of the currency Euro from Monaco?,Cent
What is the fractional unit of the currency Vietnamese đồng from Vietnam?,Hào[P]
What is the fractional unit of the currency Euro from Malta?,Cent
What is the fractional unit of the currency Brunei dollar from Brunei[H]?,Sen
What is the fractional unit of the currency Mozambican metical from Mozambique?,Centavo
What is the fractional unit of the currency Euro from Slovenia?,Cent
What is the fractional unit of the currency Euro from Slovakia?,Cent
What is the fractional unit of the currency Sterling from Isle of Man?,Penny
What is the fractional unit of the currency Euro from Vatican City?,Cent
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime
What is the fractional unit of the currency Eastern Caribbean dollar from Dominica?,Cent
What is the fractional unit of the currency Haitian gourde from Haiti?,Centime
What is the fractional unit of the currency Euro from Greece?,Cent
What is the fractional unit of the currency Namibian dollar from Namibia?,Cent
What is the fractional unit of the currency West African CFA franc from Benin?,Centime
What is the fractional unit of the currency Central African CFA franc from Gabon?,Centime
What is the fractional unit of the currency Philippine peso from Philippines?,Sentimo
What is the fractional unit of the currency Libyan dinar from Libya?,Dirham
What is the fractional unit of the currency Omani rial from Oman?,Baisa
What is the fractional unit of the currency Euro from Cyprus?,Cent
What is the fractional unit of the currency Sterling from Bailiwick of Guernsey?,Penny
What is the fractional unit of the currency Panamanian balboa from Panama?,Centésimo
What is the fractional unit of the currency Singapore dollar from Brunei[H]?,Cent
What is the fractional unit of the currency Yemeni rial from Yemen?,Fils
What is the fractional unit of the currency United States dollar from Micronesia?,Cent
What is the fractional unit of the currency Brazilian real from Brazil?,Centavo
What is the fractional unit of the currency Cuban peso from Cuba?,Centavo
What is the fractional unit of the currency United States dollar[G] from Saba?,Cent
What is the fractional unit of the currency United States dollar from Ecuador?,Centavo
What is the fractional unit of the currency Macedonian denar from North Macedonia?,Deni
What is the fractional unit of the currency Trinidad and Tobago dollar from Trinidad and Tobago?,Cent
What is the fractional unit of the currency Bosnia and Herzegovina convertible mark from Bosnia and Herzegovina?,Fening
What is the fractional unit of the currency Tunisian dinar from Tunisia?,Millime
What is the fractional unit of the currency Central African CFA franc from Equatorial Guinea?,Centime
What is the fractional unit of the currency Eastern Caribbean dollar from Anguilla?,Cent
What is the fractional unit of the currency Canadian dollar from Canada?,Cent
What is the fractional unit of the currency Euro from Belgium?,Cent
What is the fractional unit of the currency Euro from Monaco?,Cent
What is the fractional unit of the currency Ethiopian birr from Ethiopia?,Santim
What is the fractional unit of the currency Euro from Luxembourg?,Cent
What is the fractional unit of the currency Angolan kwanza from Angola?,Cêntimo
What is the fractional unit of the currency Cayman Islands dollar from Cayman Islands?,Cent
What is the fractional unit of the currency Sahrawi peseta from Sahrawi Republic[L]?,Centime
What is the fractional unit of the currency Eastern Caribbean dollar from Saint Vincent and the Grenadines?,Cent
What is the fractional unit of the currency Guinean franc from Guinea?,Centime
What is the fractional unit of the currency Guyanese dollar from Guyana?,Cent
What is the fractional unit of the currency New Zealand dollar from Pitcairn Islands?,Cent
What is the fractional unit of the currency Bermudian dollar from Bermuda?,Cent
What is the fractional unit of the currency Tunisian dinar from Tunisia?,Millime
What is the fractional unit of the currency United States dollar[G] from Saba?,Cent
What is the fractional unit of the currency South African rand from Namibia?,Cent
What is the fractional unit of the currency Icelandic króna from Iceland?,Eyrir
What is the fractional unit of the currency Euro from Andorra?,Cent
What is the fractional unit of the currency Djiboutian franc from Djibouti?,Centime
What is the fractional unit of the currency Surinamese dollar from Suriname?,Cent
What is the fractional unit of the currency Algerian dinar from Algeria?,Centime
What is the fractional unit of the currency Guernsey pound from Bailiwick of Guernsey?,Penny
What is the fractional unit of the currency Norwegian krone from Norway?,Øre
What is the fractional unit of the currency Malaysian ringgit from Malaysia?,Sen
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime
What is the fractional unit of the currency Burundian franc from Burundi?,Centime
What is the fractional unit of the currency Colombian peso from Colombia?,Centavo
What is the fractional unit of the currency United States dollar from British Virgin Islands?,Cent
What is the fractional unit of the currency Liberian dollar from Liberia?,Cent
What is the fractional unit of the currency Solomon Islands dollar from Solomon Islands?,Cent
