question,answers,type
What is the baby of a/an Lemur called?,infant,Young
What do you call a/an Penguin’s young?,chick; nestling,Young
What do you call a/an Dolphin’s young?,calf,Young
What is the female Wildebeest called?,cow,Female
How is a group of Gorilla referred to?,band troop; group whoop,Collective noun
What is a group of Hawk called?,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff,Collective noun
How is a group of Herring referred to?,army; glean; shoal,Collective noun
How is a female Badger referred to?,sow,Female
What is the baby of a/an Kingbird called?,chick,Young
How is a female Hedgehog referred to?,sow,Female
What is the baby of a/an Toucan called?,chick,Young
What do you call a/an Pheasant’s young?,chick,Young
What do you call a/an Bobcat’s young?,bobkitten,Young
What is the young one of a/an Toucan called?,chick,Young
What do you call a female Leopard?,leopardess,Female
What is the female Elk/wapiti called?,cow,Female
How is a group of Flamingo referred to?,flamboyance; stand,Collective noun
What name is given to the offspring of a/an Hamster?,pup,Young
What name is given to a group of Cat?,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance,Collective noun
What do you call a group of Gerbil?,horde,Collective noun
How is a group of Toad referred to?,knot,Collective noun
How is a group of Beetle referred to?,swarm,Collective noun
What is the female Peafowl called?,peahen,Female
What is the baby of a/an Frog called?,froglet; polliwog; tadpole,Young
What do you call a group of Starling?,chattering; murmuration,Collective noun
How is a group of Grouse referred to?,covey; pack,Collective noun
What do you call a group of Wombat?,wisdom,Collective noun
What name is given to a group of Deer?,bunch; herd; mob; rangale,Collective noun
What do you call a group of Goldfinch?,charm,Collective noun
What do you call a group of Partridge?,covey; roost,Collective noun
What name is given to a group of Albatross?,flock; gam; rookery,Collective noun
What is a group of Giraffe called?,corps; herd; tower,Collective noun
What do you call a/an Thrush’s young?,chick,Young
What do you call a female Human?,lady; woman,Female
What is the female Gerbil called?,doe,Female
What do you call a group of Snake?,ball; nest; slither,Collective noun
What name is given to a group of Goshawk?,flight,Collective noun
How is a group of Bear referred to?,sleuth; sloth,Collective noun
How is a group of Mouse referred to?,colony; nest,Collective noun
What name is given to a female Weasel?,bitch; doe; jill,Female
What is the young one of a/an Cheetah called?,cub; kitten,Young
How is a female Salmon referred to?,hen; jen,Female
What is a group of Butterfly called?,flight; flutter; kaleidoscope; rabble; swarm,Collective noun
What name is given to a group of Gerbil?,horde,Collective noun
What is the female Elephant called?,cow,Female
What is the baby of a/an Eagle called?,eaglet; fledgling,Young
What is the young one of a/an Echidna called?,puggle,Young
What name is given to a group of Alligator?,congregation,Collective noun
What do you call a group of Chicken?,brood; clutch; flock; peep,Collective noun
What name is given to the offspring of a/an Llama?,cria,Young
What name is given to a group of Pheasant?,bouquet; flock; nest; nide; nye,Collective noun
What is a group of Frog called?,army,Collective noun
What name is given to a group of Cardinal?,college; conclave; deeck; radiance; Vatican,Collective noun
What is the young one of a/an Gnat called?,larva,Young
How is a group of Cheetah referred to?,coalition,Collective noun
What is the female Dove called?,hen,Female
What name is given to a group of Goldfinch?,charm,Collective noun
What name is given to a group of Goat?,herd; flock; tribe; trip; trippe,Collective noun
What is the female Salmon called?,hen; jen,Female
What do you call a group of Llama?,flock; herd,Collective noun
What do you call a/an Meerkat’s young?,meerkitten,Young
What do you call a group of Butterfly?,flight; flutter; kaleidoscope; rabble; swarm,Collective noun
How is a group of Chinchilla referred to?,colony,Collective noun
How is a group of Chough referred to?,chattering; clattering,Collective noun
What is the baby of a/an Viper called?,hatchling,Young
What do you call a group of Cardinal?,college; conclave; deeck; radiance; Vatican,Collective noun
What name is given to a female Pig?,gilt; sow,Female
What is the young one of a/an Gecko called?,hatchling,Young
What is the young one of a/an Jay called?,chick,Young
