roman,arabic
MDXVII,1517
MDCCCL,1850
MMMCCXV,3215
MCXCIII,1193
MDCCCLXXXVII,1887
MDCCCXCVIII,1898
MMDCXCVII,2697
MMMCCCLXXXII,3382
MMCCVIII,2208
MMDCCXLIII,2743
MDCCCIII,1803
MLIV,1054
MCCCXLVIII,1348
MMMCXCIV,3194
MMDXCVII,2597
DCCXXII,722
DCL,650
DCCLIII,753
MMMCCCLXIII,3363
MMCCXXI,2221
MDLXXXIII,1583
CCCXLIX,349
MMMCDLXXXII,3482
MMDCCLXXXIV,2784
MMCLI,2151
MC,1100
MMMDCCCXCV,3895
CCI,201
MCCLXXXV,1285
MMMDCCLVI,3756
DXCI,591
MMLII,2052
DCCX,710
MMMCDLIX,3459
MDCCCLXXII,1872
DXIX,519
MCCCXLVI,1346
MCMXLVIII,1948
CMLXXV,975
MMMCCXCVI,3296
MDLXXIX,1579
MCLXXX,1180
MCDLIII,1453
MMMXXXV,3035
MDLXXXVII,1587
MCCXXXIX,1239
MCCXCIX,1299
MMMDCCCXVIII,3818
MMMCCCXC,3390
MCVIII,1108
CMLXVII,967
CCXCIII,293
MMMDCCCLXXXVII,3887
MMMCXIV,3114
MDCCLXXXIII,1783
CCXV,215
MMMDCCXVI,3716
MMMCLXXVI,3176
MMCCXLIII,2243
MXXXIV,1034
MMMDCCCXCIX,3899
MMDCCCLXV,2865
MDCXXXVII,1637
DCLIX,659
DXLVI,546
CMXLII,942
MMMDLVII,3557
MMMDCCCLXVIII,3868
MMDLXXX,2580
DCIII,603
DCLXXXII,682
MMDCCVI,2706
MMDCCLIX,2759
MCMXCVIII,1998
MMMXLVIII,3048
MMDCXLVIII,2648
MDLXVIII,1568
MCLXXVIII,1178
DCCCXXXIV,834
MMDCXXXII,2632
DLXXVI,576
MCLVI,1156
MMMCMXV,3915
MCV,1105
DCCCLXX,870
MCIX,1109
MMMCCCLXXXIV,3384
DCCCVII,807
MMCDLXXII,2472
MDCCXXII,1722
MDCCXXIV,1724
MMMDCCCLVI,3856
MMMCM,3900
MDCXV,1615
DCLXXXIX,689
MMCMLXXIX,2979
MDXCVI,1596
MMMCDXXXII,3432
MMMCMXCII,3992
MMMDXC,3590
MMMDCCXLI,3741
MMDCCCLXXI,2871
MMCCLXXI,2271
MMMCDXXI,3421
MMMCMLXV,3965
MMMDXXXIII,3533
MDCCXXXVII,1737
MMCCLV,2255
MMMDCXLVII,3647
CMXLV,945
MMMCLXXV,3175
CCCLXI,361
CML,950
MMMDCCLXXV,3775
MMMCDXCIV,3494
DCCCLXV,865
MMMDLXVIII,3568
MMMDI,3501
CCLXXXV,285
MMCMXCIV,2994
MMMDCCCXCVI,3896
MMMXV,3015
MMDXLVII,2547
MMCDXLIII,2443
MMDCCI,2701
CCCL,350
MDXXVIII,1528
CCLXXVIII,278
DCCIX,709
MDCXXVII,1627
MMMDCLVII,3657
CMLXXXI,981
DCLXXIV,674
DCLIV,654
MMMCMXXIV,3924
DXCIII,593
CMXXXVI,936
MMMDCCCLXXXII,3882
MMMCMLXXVI,3976
MMMDCCXXI,3721
MMMXCVII,3097
MDCCCXX,1820
MMMDXXVI,3526
MMMCMLXXIV,3974
MMMDCCXXXI,3731
MMMCDXCI,3491
CCLXXXVIII,288
MMCCXV,2215
CDXCVII,497
DCXLIV,644
MMMDCXXXVIII,3638
MXX,1020
MMMDCCCLXIII,3863
MMDCCCXXXI,2831
MMMCDXL,3440
MMDCCLX,2760
MDCCXIX,1719
CDLXII,462
MCDV,1405
MMCDXLV,2445
MMDCCLXXII,2772
CCII,202
MMMCXX,3120
DCCCLXXIII,873
MMMDXXIII,3523
MDCIX,1609
DCXXVI,626
MMCMLI,2951
CCCXXXVI,336
MMCXXVIII,2128
MMXXXVI,2036
MMDCV,2605
CMLXXX,980
MDCCXLII,1742
MMMCDXLII,3442
MMCLXXIII,2173
CMXCIV,994
MMDCCCXXII,2822
MMCXCIX,2199
MV,1005
MMCLIII,2153
MCCCIX,1309
DXLI,541
MMDXXI,2521
MMCDXXIV,2424
MMMDCVII,3607
CCCXXXIII,333
MMDCCCII,2802
MMCCXLIX,2249
MMCCLXIII,2263
MMMCCCXXXVIII,3338
MMMDCIV,3604
MMCCLX,2260
DCLXXV,675
CCCLVII,357
MDCCLXXXI,1781
MDLXIX,1569
MMCXXXI,2131
MMXCII,2092
MCMXXV,1925
DCCCLXXV,875
