question,answers,type,template_variant
"Who is the author of the book ""Prince Caspian""?",C.S. Lewis,book-author,author-of-book
"Who is the author of the book ""Camp Princess 2: Unicorns? Get Real!""?",Kathryn Lasky,book-author,author-of-book
"Who wrote the book ""At Last Comes Love""?",Mary Balogh,book-author,who-wrote-book
"Who wrote the book ""Rick Steves' Tour: Appian Way, Rome""?",Rick Steves,book-author,who-wrote-book
"Who is the author of the book ""Armageddon: The Musical""?",Robert Rankin,book-author,author-of-book
"Who is the author of the book ""Hölderlin, Kleist, and Nietzsche: The Struggle with the Daemon""?",Stefan Zweig,book-author,author-of-book
"Who wrote the book ""Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish""?",James Scott Bell,book-author,who-wrote-book
"Who wrote the book ""Toilers of the Sea Part 1""?",Victor Hugo,book-author,who-wrote-book
"Who is the author of the book ""Dark Sacred Night""?",Michael Connelly,book-author,author-of-book
"Who wrote the book ""All They Need""?",Sarah Mayberry,book-author,who-wrote-book
"Who wrote the book ""Ulysses: The 1922 Text""?",James Joyce,book-author,who-wrote-book
"Who is the author of the book ""In Pursuit of Peace: 21 Ways to Conquer Anxiety, Fear, and Discontentment""?",Joyce Meyer,book-author,author-of-book
"Who is the author of the book ""Forgiven""?",Karen Kingsbury,book-author,author-of-book
"Who is the author of the book ""Visions of Cody""?",Jack Kerouac,book-author,author-of-book
"Who wrote the book ""Bleach―ブリーチ― 49 [Burīchi 49]""?",Tite Kubo,book-author,who-wrote-book
"Who wrote the book ""Dreams of Earth and Sky""?",Freeman Dyson,book-author,who-wrote-book
"Who wrote the book ""Alice's Adventures in Wonderland and Through the Looking-Glass: With an Excerpt from the Life and Letters of Lewis Carroll""?",Lewis Carroll,book-author,who-wrote-book
"Who wrote the book ""Faceless Killers""?",Henning Mankell,book-author,who-wrote-book
"Who is the author of the book ""The Myth of the Spoiled Child: Coddled Kids, Helicopter Parents, and Other Phony Crises""?",Alfie Kohn,book-author,author-of-book
"Who wrote the book ""Elements of the Philosophy of Right""?",Georg Wilhelm Friedrich Hegel,book-author,who-wrote-book
"Who is the author of the book ""A Whisper to the Living""?",Stuart M. Kaminsky,book-author,author-of-book
"Who wrote the book ""Thomas Pynchon""?",Joseph W. Slade,book-author,who-wrote-book
"Who is the author of the book ""A Wilder Rose""?",Susan Wittig Albert,book-author,author-of-book
"Who wrote the book ""Enid Blyton: The Biography""?",Barbara Stoney,book-author,who-wrote-book
"Who is the author of the book ""Buffalo Bill Cody: The Man Behind the Legend""?",Robert A. Carter,book-author,author-of-book
"Who wrote the book ""Goodbye Columbus""?",Philip Roth,book-author,who-wrote-book
"Who is the author of the book ""Rules of Engagement: An Anthology""?",Stephanie Laurens,book-author,author-of-book
"Who is the author of the book ""The Dharma Bums""?",Jack Kerouac,book-author,author-of-book
"Who is the author of the book ""Living Color: Painting, Writing, and the Bones of Seeing""?",Natalie Goldberg,book-author,author-of-book
"Who wrote the book ""The Information: A History, a Theory, a Flood""?",James Gleick,book-author,who-wrote-book
"Who wrote the book ""The Sisters: The Saga of the Mitford Family""?",Mary S. Lovell,book-author,who-wrote-book
"Who is the author of the book ""Pandora""?",Anne Rice,book-author,author-of-book
"Who is the author of the book ""The Partly Cloudy Patriot""?",Sarah Vowell,book-author,author-of-book
"Who wrote the book ""Bean There, Done That""?",Sandra Balzo,book-author,who-wrote-book
"Who wrote the book ""Grits (Girls Raised in the South) Guide to Life""?",Deborah Ford,book-author,who-wrote-book
"Who wrote the book ""The Battle of Corrin""?",Brian Herbert,book-author,who-wrote-book
"Who wrote the book ""Perfidia""?",James Ellroy,book-author,who-wrote-book
"Who is the author of the book ""Up Country""?",Nelson DeMille,book-author,author-of-book
"Who wrote the book ""Leonardo's Swans""?",Karen Essex,book-author,who-wrote-book
"Who is the author of the book ""Lawn Boy Returns""?",Gary Paulsen,book-author,author-of-book
"Who wrote the book ""Introduction to Lexivism""?",Alexander Lloyd Curran,book-author,who-wrote-book
"Who wrote the book ""Unknown""?",Rachel Caine,book-author,who-wrote-book
"Who is the author of the book ""Something Strange and Deadly""?",Susan Dennard,book-author,author-of-book
"Who is the author of the book ""When the Wind Blows""?",James Patterson,book-author,author-of-book
"Who wrote the book ""Red Scare in the Green Mountains: The McCarthy Era in Vermont 1946-1960""?",Rick Winston,book-author,who-wrote-book
"Who is the author of the book ""The 1002nd Book to Read Before You Die""?",M.J. Nicholls,book-author,author-of-book
"Who wrote the book ""Mr. Harrison's Confessions""?",Elizabeth Gaskell,book-author,who-wrote-book
"Who is the author of the book ""The Sacredness of Questioning Everything""?",David Dark,book-author,author-of-book
"Who wrote the book ""Sita""?",Kate Millett,book-author,who-wrote-book
"Who is the author of the book ""The Supergirls: Fashion, Feminism, Fantasy, and the History of Comic Book Heroines""?",Mike Madrid,book-author,author-of-book
"Who is the author of the book ""The Master of Ballantrae""?",Robert Louis Stevenson,book-author,author-of-book
"Who is the author of the book ""The Lake of Souls""?",Darren Shan,book-author,author-of-book
"Who wrote the book ""Breathe: One woman's journey to save her husband and herself""?",Barbara Thornbury,book-author,who-wrote-book
"Who wrote the book ""Kink""?",Nikki Sex,book-author,who-wrote-book
"Who is the author of the book ""Some Inspiration for the Overenthusiastic""?",Bauvard,book-author,author-of-book
"Who is the author of the book ""The Impostor""?",Celeste Bradley,book-author,author-of-book
"Who wrote the book ""Hear the Wind Sing""?",Haruki Murakami,book-author,who-wrote-book
"Who wrote the book ""An Object Of Beauty""?",Steve Martin,book-author,who-wrote-book
"Who wrote the book ""The Imagination""?",Jean-Paul Sartre,book-author,who-wrote-book
"Who is the author of the book ""Complicity""?",Iain M. Banks,book-author,author-of-book
"Who is the author of the book ""The Road to Daybreak: A Spiritual Journey""?",Henri J.M. Nouwen,book-author,author-of-book
"Who wrote the book ""Ben Folds Five - The Unauthorized Biography of Reinhold Messner""?",Ben Folds,book-author,who-wrote-book
"Who wrote the book ""Becoming Wise: An Inquiry into the Mystery and Art of Living""?",Krista Tippett,book-author,who-wrote-book
"Who is the author of the book ""Be Obedient (Genesis 12-25): Learning the Secret of Living by Faith""?",Warren W. Wiersbe,book-author,author-of-book
"Who wrote the book ""Island of the Blue Dolphins""?",Scott O'Dell,book-author,who-wrote-book
"Who wrote the book ""Two by Two""?",Nicholas Sparks,book-author,who-wrote-book
"Who wrote the book ""La Fanfarlo""?",Charles Baudelaire,book-author,who-wrote-book
"Who is the author of the book ""The Run-Out Groove""?",Andrew Cartmel,book-author,author-of-book
"Who wrote the book ""Resurrection Man""?",Sean Stewart,book-author,who-wrote-book
"Who is the author of the book ""The Collector of Dying Breaths""?",M.J. Rose,book-author,author-of-book
"Who wrote the book ""Notebooks 1935-1942""?",Albert Camus,book-author,who-wrote-book
"Who wrote the book ""Winner Lose All""?",Timothy Zahn,book-author,who-wrote-book
