question,answer
What is the IATA code for Cerro Moreno International Airport?,ANF
What is the IATA code for Mungeranie Airport?,MNE
What is the IATA code for Trivandrum International Airport?,TRV
What is the IATA code for Kabul International Airport?,KBL
What is the IATA code for Yilan Airport?,YLN
What is the IATA code for Flughafen Lahr?,LHA
What is the IATA code for Houlton International Airport?,HUL
What is the IATA code for Fria Airport?,FIG
What is the IATA code for Spencer Municipal Airport?,SPW
What is the IATA code for Hun Airport?,HUQ
What is the IATA code for Itaqui Airport?,ITQ
What is the IATA code for Luzhou Yunlong Airport?,LZO
What is the IATA code for Arvaikheer Airport?,AVK
What is the IATA code for Monte Real Air Base?,QLR
What is the IATA code for Uiju Airfield?,UJU
What is the IATA code for Ohio State University Airport?,OSU
What is the IATA code for Porto Cheli Airport?,PKH
What is the IATA code for Essen/Mülheim Airport?,ESS
What is the IATA code for El Alcaraván Airport?,EYP
What is the IATA code for Navoiy International Airport?,NVI
What is the IATA code for Juanjuí Airport?,JJI
What is the IATA code for Daniel Field?,DNL
What is the IATA code for Monte Alegre Airport?,MTE
What is the IATA code for Hornepayne Municipal Airport?,YHN
What is the IATA code for Pontoise – Cormeilles Aerodrome?,POX
What is the IATA code for Mullewa Airport?,MXU
What is the IATA code for Jönköping Airport?,JKG
What is the IATA code for Madrid–Torrejón Airport?,TOJ
What is the IATA code for Sana'a International Airport?,SAH
What is the IATA code for Biniguni Airport?,XBN
What is the IATA code for Bajone Airport?,BJN
What is the IATA code for Pyongyang Sunan International Airport?,FNJ
What is the IATA code for Jajao Airport?,JJA
What is the IATA code for Hakai Passage Water Aerodrome?,YHC
What is the IATA code for Casigua El Cubo Airport?,CUV
What is the IATA code for San Miguel Airport?,NMG
What is the IATA code for Quepos La Managua Airport?,XQP
What is the IATA code for Ailigandí Airport?,AIL
What is the IATA code for Dawei Airport?,TVY
What is the IATA code for Colonel Hill Airport?,CRI
What is the IATA code for Lumberton Municipal Airport?,LBT
What is the IATA code for Teslin Airport?,YZW
What is the IATA code for Dinard–Pleurtuit–Saint-Malo Airport?,DNR
What is the IATA code for Licenciado Miguel de la Madrid Airport?,CLQ
What is the IATA code for Roshchino International Airport?,TJM
What is the IATA code for Mafeteng Airport?,MFC
What is the IATA code for Iokea Airport?,IOK
What is the IATA code for Ellsworth Air Force Base?,RCA
What is the IATA code for Depati Amir Airport?,PGK
What is the IATA code for Mano Dayak International Airport?,AJY
What is the IATA code for Aberdeen Airport?,ABZ
What is the IATA code for Tsiroanomandidy Airport?,WTS
What is the IATA code for Port-Menier Airport?,YPN
What is the IATA code for Khorramabad Airport?,KHD
"What is the IATA code for Andøya Airport, Andenes?",ANX
What is the IATA code for Alert Airport?,YLT
What is the IATA code for Avon Park Executive Airport?,AVO
What is the IATA code for Klamath Falls Airport?,LMT
What is the IATA code for Warwick Airport?,WAZ
What is the IATA code for Namu Water Aerodrome?,ZNU
What is the IATA code for Quzhou Airport?,JUZ
What is the IATA code for North Bay/Jack Garland Airport?,YYB
What is the IATA code for Greenville Downtown Airport?,GMU
What is the IATA code for Shimojishima Airport?,SHI
What is the IATA code for Gerald R. Ford International Airport?,GRR
What is the IATA code for South Goulburn Island Airport?,GBL
What is the IATA code for Rodríguez Ballón International Airport?,AQP
What is the IATA code for Almaty International Airport?,ALA
What is the IATA code for Jining Daan Airport?,JNG
What is the IATA code for Agnew Airport?,AGW
What is the IATA code for Reese Airpark?,REE
What is the IATA code for Anahim Lake Airport?,YAA
What is the IATA code for Columbus Municipal Airport?,CLU
What is the IATA code for Beni Mellal Airport?,BEM
What is the IATA code for Corryong Airport?,CYG
What is the IATA code for Parlin Field?,NWH
What is the IATA code for Southwest Washington Regional Airport?,KLS
What is the IATA code for Düsseldorf Airport?,DUS
What is the IATA code for Charata Airport?,CNT
What is the IATA code for Noi Bai International Airport?,HAN
What is the IATA code for Mount Gunson Airport?,GSN
What is the IATA code for Kasba Lake Airport?,YDU
What is the IATA code for Lemnos International Airport?,LXS
What is the IATA code for Offutt Air Force Base?,OFF
What is the IATA code for Mongu Airport?,MNR
What is the IATA code for Clinton Creek Airport?,YLM
What is the IATA code for Massawa International Airport?,MSW
What is the IATA code for Loring Seaplane Base?,WLR
What is the IATA code for Soalala Airport?,DWB
What is the IATA code for Cessna Aircraft Field?,CEA
What is the IATA code for Shirak Airport?,LWN
What is the IATA code for Mitiaro Airport?,MOI
What is the IATA code for Goodnews Airport?,GNU
What is the IATA code for Carcassonne Airport?,CCF
What is the IATA code for M'Boki Airport?,MKI
What is the IATA code for Ngloram Airport?,CPF
What is the IATA code for Hat Yai International Airport?,HDY
What is the IATA code for Quinhagak Airport?,KWN
What is the IATA code for Kikori Airport?,KRI
What is the IATA code for Roboré Airport?,RBO
What is the IATA code for Baker Lake Airport?,YBK
What is the IATA code for Camp Bastion Air Base?,OAZ
What is the IATA code for Rottnest Island Airport?,RTS
What is the IATA code for Kasos Island Public Airport?,KSJ
What is the IATA code for Niquelândia Airport?,NQL
What is the IATA code for Dong Hoi Airport?,VDH
What is the IATA code for Çanakkale Airport?,CKZ
What is the IATA code for Moucha Airport?,MHI
What is the IATA code for Changhai Airport?,CNI
What is the IATA code for Cascade Locks State Airport?,CZK
What is the IATA code for Sultan Muhammad Salahudin Airport?,BMU
What is the IATA code for Charters Towers Airport?,CXT
What is the IATA code for Québec City Jean Lesage International Airport?,YQB
What is the IATA code for US Naval Station Rota?,ROZ
What is the IATA code for Westchester County Airport?,HPN
What is the IATA code for Charleville Airport?,CTL
What is the IATA code for Makini Airport?,MPG
What is the IATA code for Barcelona–El Prat Airport?,BCN
What is the IATA code for N'zeto Airport?,ARZ
"What is the IATA code for Brønnøysund Airport, Brønnøy?",BNN
What is the IATA code for Urgun Airport?,URN
What is the IATA code for Chetwynd Airport?,YCQ
What is the IATA code for Soroti Airport?,SRT
What is the IATA code for Talladega Municipal Airport?,ASN
What is the IATA code for Lüderitz Airport?,LUD
What is the IATA code for Jiroft Airport?,JYR
What is the IATA code for Chandalar Lake Airport?,WCR
What is the IATA code for Nadym Airport?,NYM
What is the IATA code for Keetmanshoop Airport?,KMP
What is the IATA code for Tiga Airport?,TGJ
What is the IATA code for Toussus-le-Noble Airport?,TNF
What is the IATA code for Johan Adolf Pengel International Airport?,PBM
What is the IATA code for Sohar Airport?,OHS
What is the IATA code for Greenville–Spartanburg International Airport?,GSP
What is the IATA code for Masirah Air Base?,MSH
What is the IATA code for Lodja Airport?,LJA
What is the IATA code for Cape Rodney Airport?,CPN
What is the IATA code for Sindal Airport?,CNL
What is the IATA code for Solapur Airport?,SSE
What is the IATA code for Albert J. Ellis Airport?,OAJ
What is the IATA code for Welshpool Airport?,WHL
What is the IATA code for Tobolsk Airport?,TOX
What is the IATA code for Mattala Rajapaksa International Airport?,HRI
What is the IATA code for Pensacola International Airport?,PNS
What is the IATA code for Beijing Daxing International Airport?,PKX
What is the IATA code for Ourilândia do Norte Airport?,OIA
What is the IATA code for Aktau Airport?,SCO
What is the IATA code for Marcala Airport?,MRJ
What is the IATA code for Simberi Airport?,NIS
What is the IATA code for Newport State Airport?,EFK
What is the IATA code for Mangochi Airport?,MAI
"What is the IATA code for Santa Lucía Air Force Base Num 1,Felipe Ángeles International Airport?",NLU
What is the IATA code for Arroyo Barril Airport?,EPS
What is the IATA code for Ashley Municipal Airport?,ASY
What is the IATA code for Benin Airport?,BNI
What is the IATA code for Gregorio Luperón International Airport?,POP
What is the IATA code for Turtle Island Seaplane Base?,TTL
What is the IATA code for Manti-Ephraim Airport?,NTJ
What is the IATA code for Northeast Alabama Regional Airport?,GAD
What is the IATA code for Delta Downs Airport?,DDN
What is the IATA code for Mount Isa Airport?,ISA
What is the IATA code for Wudalianchi Airport?,DTU
What is the IATA code for Loikaw Airport?,LIW
What is the IATA code for Mitchell Plateau Airport?,MIH
What is the IATA code for Phu Quoc International Airport?,PQC
What is the IATA code for Marion Municipal Airport?,MZZ
What is the IATA code for Juvenal Loureiro Cardoso Airport?,PTO
What is the IATA code for Gurupi Airport?,GRP
What is the IATA code for Mobridge Municipal Airport?,MBG
"What is the IATA code for Sogndal Airport, Haukåsen?",SOG
What is the IATA code for Yan'an Nanniwan Airport?,ENY
What is the IATA code for Bacha Khan International Airport?,PEW
What is the IATA code for Worthington Municipal Airport?,OTG
What is the IATA code for Beaumont Municipal Airport?,BMT
What is the IATA code for Moolawatana Airport?,MWT
What is the IATA code for Garowe International Airport?,GGR
What is the IATA code for Hilo International Airport?,ITO
What is the IATA code for Pullman–Moscow Regional Airport?,PUW
What is the IATA code for Pweto Airport?,PWO
What is the IATA code for Monseñor Óscar Arnulfo Romero International Airport?,SAL
What is the IATA code for Suki Airport?,SKC
What is the IATA code for Mekane Selam Airport?,MKS
What is the IATA code for Leinster Airport?,LER
What is the IATA code for Savuti Airport?,SVT
What is the IATA code for Agaun Airport?,AUP
What is the IATA code for Kindu Airport?,KND
What is the IATA code for Morlaix – Ploujean Airport?,MXN
What is the IATA code for Bujumbura International Airport?,BJM
What is the IATA code for Ogdensburg International Airport?,OGS
What is the IATA code for Spirit Lake Municipal Airport?,RTL
What is the IATA code for Santa Barbara Municipal Airport?,SBA
What is the IATA code for Wadi al-Dawasir Domestic Airport?,WAE
What is the IATA code for Cap. FAP Pedro Canga Rodríguez Airport?,TBP
What is the IATA code for El Nido Airport?,ENI
What is the IATA code for Macenta Airport?,MCA
What is the IATA code for Austin Straubel International Airport?,GRB
What is the IATA code for Ancona Falconara Airport?,AOI
What is the IATA code for Guangyuan Panlong Airport?,GYS
What is the IATA code for Mutiara Airport?,PLW
What is the IATA code for Shively Field?,SAA
What is the IATA code for Akhiok Airport?,AKK
What is the IATA code for El Hierro Airport?,VDE
What is the IATA code for Melbourne Orlando International Airport?,MLB
What is the IATA code for Yokangassi Airport?,NKY
What is the IATA code for Al Abraq International Airport?,LAQ
What is the IATA code for Grenfell Airport?,GFE
What is the IATA code for Condron Army Airfield?,WSD
What is the IATA code for Minj Airport?,MZN
What is the IATA code for Zhangye Ganzhou Airport?,YZY
What is the IATA code for Innamincka Airport?,INM
What is the IATA code for Barnstable Municipal Airport?,HYA
What is the IATA code for Lee Airport?,ANP
What is the IATA code for Senador Nilo Coelho Airport?,PNZ
What is the IATA code for Francisco Álvares de Assis Airport?,JDF
What is the IATA code for Nueva Guinea Airport?,NVG
What is the IATA code for Savannakhet Airport?,ZVK
What is the IATA code for Walvis Bay Airport?,WVB
What is the IATA code for Kamberatoro Airport?,KDQ
What is the IATA code for Ouanaham Airport?,LIF
What is the IATA code for Nanchong Gaoping Airport?,NAO
What is the IATA code for Nissan Island Airport?,IIS
What is the IATA code for Del Norte International Airport?,NTR
What is the IATA code for Murmansk Airport?,MMK
What is the IATA code for Eindhoven Airport?,EIN
What is the IATA code for Valdosta Regional Airport?,VLD
What is the IATA code for Manuel Crescencio Rejón International Airport?,MID
What is the IATA code for Rechlin–Lärz Airfield?,REB
What is the IATA code for Kilwa Airport?,KIL
What is the IATA code for Yandicoogina Airport?,YNN
What is the IATA code for Britton Municipal Airport?,TTO
What is the IATA code for Cauquira Airport?,CDD
What is the IATA code for Praslin Island Airport?,PRI
What is the IATA code for Haifa Airport?,HFA
What is the IATA code for Lisala Airport?,LIQ
What is the IATA code for Sirjan Airport?,SYJ
What is the IATA code for Ceres Airport?,CRR
What is the IATA code for Dembidolo Airport?,DEM
"What is the IATA code for Trondheim Airport, Værnes?",TRD
What is the IATA code for Greater Rochester International Airport?,ROC
What is the IATA code for Ebadon Airstrip?,EBN
