question,answer
"In the CGS system of units, what is the symbol of the unit kayser?",K
"In the MKS system of units, what is the symbol of the unit jansky?",Jy
"In the MKS system of units, what is the symbol of the unit mho?",℧
"In the CGS system of units, what is the symbol of the unit biot?",Bi
"In the CGS system of units, what is the symbol of the unit abwatt?",abW
"In the MKS system of units, what is the symbol of the unit nox?",nx
"In the MKS system of units, what is the symbol of the unit svedberg?",S
"In the MKS system of units, what is the symbol of the unit buckingham?",B
"In the CGS system of units, what is the symbol of the unit statcoulomb?",statC
"In the CGS system of units, what is the symbol of the unit dyne?",dyn
"In the MKS system of units, what is the symbol of the unit hectare?",ha
"In the MKS system of units, what is the symbol of the unit roentgen equivalent man?",rem
"In the CGS system of units, what is the symbol of the unit statfarad?",statF
"In the MKS system of units, what is the symbol of the unit myriametre?",mym
"In the MKS system of units, what is the symbol of the unit lambda?",λ
"In the MKS system of units, what is the symbol of the unit rayleigh?",R
"In the CGS system of units, what is the symbol of the unit statwatt?",statW
"In the MKS system of units, what is the symbol of the unit rad?",rad
"In the MKS system of units, what is the symbol of the unit nit?",nt
"In the MKS system of units, what is the symbol of the unit poncelet?",p
"In the MKS system of units, what is the symbol of the unit basic module?",M
"In the MKS system of units, what is the symbol of the unit lambert?",L
"In the CGS system of units, what is the symbol of the unit erg?",erg
"In the MKS system of units, what is the symbol of the unit rutherford?",Rd
"In the CGS system of units, what is the symbol of the unit abfarad?",abF
"In the MKS system of units, what is the symbol of the unit litre?",l
"In the CGS system of units, what is the symbol of the unit statdaraf?",statD
"In the MKS system of units, what is the symbol of the unit decare?",daa
"In the CGS system of units, what is the symbol of the unit gilbert?",Gb
"In the MKS system of units, what is the symbol of the unit tex?",tex
"In the CGS system of units, what is the symbol of the unit barye?",Ba
"In the CGS system of units, what is the symbol of the unit stilb?",sb
"In the MKS system of units, what is the symbol of the unit cycle per second?",cps
"In the CGS system of units, what is the symbol of the unit abcoulomb?",abC
"In the MKS system of units, what is the symbol of the unit sverdrup?",Sv
"In the MTS system of units, what is the symbol of the unit tonne?",t
"In the CGS system of units, what is the symbol of the unit abohm?",abΩ
"In the MKS system of units, what is the symbol of the unit gamma?",γ
"In the MKS system of units, what is the symbol of the unit barn?",b
"In the CGS system of units, what is the symbol of the unit stokes?",St
"In the CGS system of units, what is the symbol of the unit gal?",Gal
"In the MKS system of units, what is the symbol of the unit stere?",st
"In the MKS system of units, what is the symbol of the unit metre sea water?",msw
"In the MKS system of units, what is the symbol of the unit debye?",D
"In the MTS system of units, what is the symbol of the unit sthène?",sn
"In the MKS system of units, what is the symbol of the unit are?",a
"In the CGS system of units, what is the symbol of the unit abampere?",abA
"In the CGS system of units, what is the symbol of the unit phot?",ph
"In the MKS system of units, what is the symbol of the unit eotvos?",E
"In the MKS system of units, what is the symbol of the unit spat?",S
